Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective July 1, 2023 through September 30, 2023",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q23 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J2372,"Inj, biorphen, 20 micrograms",20 MCG,0.188,20.000,,,,,,Added July 2023,
J2401,Chloroprocaine hcl injection,1 MG,0.039,20.000,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.111,20.000,,,,,,,
J2406,"Injection, oritavancin 10 mg",10 MG,41.734,20.000,,,,,,,
J2407,"Injection, oritavancin",10 MG,26.894,20.000,,,,,,,
J2426,"Inj, invega sustenna, 1 mgj",1 MG,14.217,20.000,,,,,,,
J2427,"Inj, invega hafyera/trinza",1MG,12.108,20.000,,,,,,Added July 2023,
J2430,Pamidronate disodium /30 mg,30 MG,10.316,20.000,,,,,,,
J2469,Palonosetron hcl,25 MCG,1.001,20.000,,,,,,,
J2501,Paricalcitol,1 MCG,0.498,20.000,,,,,,AMP-based payment limit,
J2506,Inj pegfilgrast ex bio 0.5mg,0.5 MG,85.710,20.000,,,,,,,
J2507,Pegloticase injection,1 MG,3268.450,20.000,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,43.376,20.000,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.070,20.000,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.359,20.000,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,93.857,20.000,,,,,,,
J2550,Promethazine hcl injection,50 MG,3.147,20.000,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,39.383,20.000,,,,,,,
J2562,Plerixafor injection,1 MG,429.363,20.000,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,7.271,20.000,,,,,,,
J2598,"Inj, vasopressin, 1 unit",1 UNIT,2.919,20.000,,,,,,Added July 2023,
J2599,Inj vasopressin (am reg) 1 u,1 UNIT,2.098,20.000,,,,,,Added July 2023,
J2675,Inj progesterone per 50 mg,50 MG,0.970,20.000,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,10.952,20.000,,,,,,,
J2690,Procainamide hcl injection,1 GM,307.989,20.000,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.173,20.000,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.098,20.000,,,,,,AMP-based payment limit,
J2720,Inj protamine sulfate/10 mg,10 MG,0.947,20.000,,,,,,AMP-based payment limit,
J2724,Protein c concentrate,10 UNITS,15.112,20.000,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,458.182,20.000,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,1.235,20.000,,,,,,,
J2777,"Inj, faricimab-svoa, 0.1mg",0.1 MG,37.089,20.000,,,,,,,
J2778,Ranibizumab injection,0.1 mg,236.583,20.000,,,,,,,
J2779,"Inj, susvimo 0.1 mg",0.1 MG,81.018,20.000,,,,,,,
J2783,Rasburicase,0.5 MG,357.364,20.000,,,,,,,
J2785,Regadenoson injection,0.1 MG,62.275,20.000,,,,,,,
J2786,"Injection, reslizumab, 1mg",1 MG,10.198,20.000,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),26.918,20.000,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),81.831,20.000,,,,,,,
J2791,Rhophylac injection,100 IU,4.901,20.000,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,33.710,20.000,,,,,,,
J2794,"Inj risperdal consta, 0.5 mg",0.5 MG,12.023,20.000,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.074,20.000,,,,,,,
J2796,Romiplostim injection,10 MCG,95.468,19.718,,,,,,Inflation-adjusted coinsurance,
J2798,"Inj., perseris, 0.5 mg",0.5 mg,11.669,20.000,,,,,,,
J2800,Methocarbamol injection,10 ML,6.650,20.000,,,,,,,
J2805,Sincalide injection,5 MCG,133.543,20.000,,,,,,,
J2820,Sargramostim injection,50 MCG,58.311,19.422,,,,,,Inflation-adjusted coinsurance,
J2860,"Injection, siltuximab",10 MG,139.218,20.000,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.123,20.000,,,,,,,
J2920,Methylprednisolone injection,40 MG,4.237,20.000,,,,,,,
J2930,Methylprednisolone injection,125 MG,5.725,20.000,,,,,,,
J2997,Alteplase recombinant,1 MG,89.146,20.000,,,,,,,
J2998,Inj plasminogen tvmh 1mg,1 MG,30.095,20.000,,,,,,Added July 2023,
J3000,Streptomycin injection,1 GM,31.568,20.000,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.837,20.000,,,,,,,
J3032,Inj. eptinezumab-jjmr 1 mg,1 MG,17.443,20.000,,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,44.561,20.000,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.709,20.000,,,,,,,
J3095,Telavancin injection,10 MG,6.826,20.000,,,,,,,
J3101,Tenecteplase injection,1 MG,152.696,20.000,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,2.290,20.000,,,,,,,
J3111,Inj. romosozumab-aqqg 1 mg,1 MG,10.367,20.000,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.047,20.000,,,,,,,
J3145,Testosterone undecanoate 1mg,1 MG,1.785,20.000,,,,,,Updated July 2024,
J3230,Chlorpromazine hcl injection,50 MG,35.950,20.000,,,,,,,
J3240,Thyrotropin injection,0.9 MG,2001.485,20.000,,,,,,,
J3241,Inj. teprotumumab-trbw 10 mg,10 MG,327.998,20.000,,,,,,,
J3243,Tigecycline injection,1 MG,0.743,20.000,,,,,,,
J3245,"Inj., tildrakizumab, 1 mg",1 MG,143.265,20.000,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,45.041,20.000,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.652,20.000,,,,,,,
J3262,Tocilizumab injection,1 MG,5.910,20.000,,,,,,,
J3285,Treprostinil injection,1 MG,55.196,20.000,,,,,,,
J3299,Inj xipere 1 mg,1 MG,48.486,20.000,,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,4.269,20.000,,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,1.005,20.000,,,,,,,
J3304,Inj triamcinolone ace xr 1mg,1 MG,17.114,20.000,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,382.392,20.000,,,,,,,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,147.647,20.000,,,,,,,
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,12.594,20.000,,,,,,,
J3360,Diazepam injection,5 MG,5.250,20.000,,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.409,20.000,,,,,,,
J3371,"Inj, vancomycin hcl (mylan)",500 MG,6.298,20.000,,,,,,,
J3372,"Inj, vancomycin hcl (xellia)",500 MG,6.578,20.000,,,,,,,
J3380,"Injection, vedolizumab",1 MG,22.677,20.000,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,367.181,20.000,,,,,,,
J3396,Verteporfin injection,0.1 MG,11.416,20.000,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,13.622,20.000,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.502,20.000,,,,,,AMP-based payment limit,
J3415,Pyridoxine hcl 100 mg,100 MG,15.897,20.000,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.310,20.000,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,2.872,20.000,,,,,,,
J3465,"Injection, voriconazole",10 MG,1.223,20.000,,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.494,20.000,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.359,20.000,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.934,20.000,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.101,20.000,,,,,,,
J3485,Zidovudine,10 MG,1.512,20.000,,,,,,,
J3486,Ziprasidone mesylate,10 MG,9.603,20.000,,,,,,,
J3489,Zoledronic acid 1mg,1 MG,9.085,20.000,,,,,,,
J7030,Normal saline solution infus,1000 ML,2.539,20.000,,,,,,,
J7040,Normal saline solution infus,500 ML,1.270,20.000,,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.178,20.000,,,,,,,
J7050,Normal saline solution infus,250 ML,0.635,20.000,,,,,,,
J7060,5% dextrose/water,500 ML,1.812,20.000,,,,,,,
J7070,D5w infusion,1000 CC,3.623,20.000,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.389,20.000,,,,,,,
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,51.005,20.000,,,,,1,,
J7175,"Inj, factor x, (human), 1iu",1 IU,9.091,20.000,,,,,1,,
J7177,"Inj., fibryga, 1 mg",1 MG,1.098,20.000,,,,,1,,
J7178,Inj human fibrinogen con nos,1 IU,1.383,20.000,,,,,1,,
J7179,Vonvendi inj 1 iu vwf:rco,1 IU,1.781,20.000,,,,,1,,
J7180,Factor xiii anti-hem factor,1 IU,9.683,20.000,,,,,1,,
J7181,Factor xiii recomb a-subunit,1 IU,16.886,20.000,,,,,1,,
J7182,Factor viii recomb novoeight,1 IU,1.283,20.000,,,,,1,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.259,20.000,,,,,1,,
J7185,Xyntha inj,1 IU,1.376,20.000,,,,,1,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,1.216,20.000,,,,,1,,
J7187,"Humate-p, inj",1 IU,1.347,20.000,,,,,1,,
J7188,Factor viii recomb obizur,1 IU,3.217,20.000,,,,,1,,
J7189,Factor viia recomb novoseven,1 MCG,2.412,20.000,,,,,1,,
J7190,Factor viii,1 IU,1.029,20.000,,,,,1,,
J7192,Factor viii recombinant nos,1 IU,1.506,20.000,,,,,1,,
J7193,Factor ix non-recombinant,1 IU,1.297,20.000,,,,,1,Updated October 2023,
J7194,Factor ix complex,1 IU,1.615,20.000,,,,,1,,
J7195,Factor ix recombinant nos,1 IU,1.756,20.000,,,,,1,,
J7197,Antithrombin iii injection,1 IU,3.350,20.000,,,,,,AMP-based payment limit,
J7198,Anti-inhibitor,1 IU,2.232,20.000,,,,,1,,
J7200,Factor ix recombinan rixubis,1 IU,1.614,20.000,,,,,1,,
J7201,Factor ix alprolix recomb,1 IU,3.460,20.000,,,,,1,,
J7202,Factor ix idelvion inj,1 IU,4.932,20.000,,,,,1,,
J7203,Factor ix recomb gly rebinyn,1 IU,4.414,20.000,,,,,1,,
J7204,Inj recombin esperoct per iu,1 IU,2.108,20.000,,,,,1,,
J7205,Factor viii fc fusion recomb,1 IU,2.173,20.000,,,,,1,,
J7207,Factor viii pegylated recomb,1 IU,2.106,20.000,,,,,1,,
J7208,Inj. jivi 1 iu,1 IU,2.354,20.000,,,,,1,,
J7209,Factor viii nuwiq recomb 1iu,1 IU,1.358,20.000,,,,,1,,
J7210,"Inj, afstyla, 1 i.u.",1 IU,1.436,20.000,,,,,1,,
J7211,"Inj, kovaltry, 1 i.u.",1 IU,1.436,20.000,,,,,1,,
J7212,Factor viia recomb sevenfact,1 MCG,2.013,20.000,,,,,1,,
J7213,"Inj, ixinity, 1 i.u.",1 IU,1.746,20.000,,,,,1,Added July 2023,
J7308,Aminolevulinic acid hcl top,354 MG,391.230,20.000,,,,,,,
J7311,"Inj., retisert, 0.01 mg",0.01 MG,340.228,20.000,,,,,,Updated October 2023,
J7312,Dexamethasone intra implant,0.1 MG,204.677,20.000,,,,,,,
J7313,"Inj., iluvien, 0.01 mg",0.01 MG,490.947,20.000,,,,,,,
J7314,"Inj., yutiq, 0.01 mg",0.01 MG,529.269,20.000,,,,,,,
J7318,"Inj, durolane 1 mg",1 MG,6.061,20.000,,,,,,,
J7320,"Genvisc 850, inj, 1mg",1 MG,6.105,20.000,,,,,,,
J7321,Hyalgan supartz visco-3 dose,per dose,73.480,20.000,,,,,,,
J7322,Hymovis injection 1 mg,1 MG,17.019,20.000,,,,,,,
J7323,Euflexxa inj per dose,per dose,131.420,20.000,,,,,,,
J7324,Orthovisc inj per dose,PER DOSE,117.377,20.000,,,,,,,
J7325,Synvisc or synvisc-one,1 MG,9.617,20.000,,,,,,,
J7326,Gel-one,per dose,516.727,20.000,,,,,,,
J7327,Monovisc inj per dose,PER DOSE,692.752,20.000,,,,,,,
J7328,Gelsyn-3 injection 0.1 mg,0.1 MG,0.615,20.000,,,,,,,
J7329,"Inj, trivisc 1 mg",1 MG,8.795,20.000,,,,,,,
J7331,"Synojoynt, inj., 1 mg",1 MG,13.250,20.000,,,,,,,
J7332,"Inj., triluron, 1 mg",1 MG,10.055,20.000,,,,,,,
J7336,Capsaicin 8% patch,1 SQ CM,3.274,20.000,,,,,,,
J7340,Carbidopa levodopa ent 100ml,100 ML,226.831,20.000,,,,,,,
J7342,Ciprofloxacin otic susp 6 mg,6 MG,30.019,20.000,,,,,,,
J7345,"Aminolevulinic acid, 10% gel",10 MG,1.649,20.000,,,,,,,
J7351,Inj bimatoprost itc imp1mcg,1 MCG,206.406,20.000,,,,,,,
J7402,Mometasone sinus sinuva,10 MCG,11.345,20.000,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,13.701,20.000,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,1.759,20.000,,,,,,,
J7503,Tacrol envarsus ex rel oral,0.25 MG,1.673,20.000,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,2989.437,18.075,,,,,,Inflation-adjusted coinsurance,
J7507,Tacrolimus imme rel oral 1mg,1 MG,0.287,20.000,,,,,,,
J7508,Tacrol astagraf ex rel oral,0.1 MG,0.549,20.000,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.261,20.000,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.248,20.000,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,920.534,20.000,,,,,,,
J7512,Prednisone ir or dr oral 1mg,1 MG,0.006,20.000,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.754,20.000,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,0.212,20.000,,,,,,,
J7518,Mycophenolic acid,180 MG,0.672,20.000,,,,,,,
J7520,"Sirolimus, oral",1 MG,3.107,20.000,,,,,,,
J7525,Tacrolimus injection,5 MG,246.085,20.000,,,,,,,
J7527,Oral everolimus,0.25 MG,3.201,20.000,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,3.286,20.000,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,5.189,20.000,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,6.844,20.000,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.133,20.000,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.254,20.000,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.030,20.000,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.035,20.000,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.131,20.000,,,,,,,
J7626,Budesonide non-comp unit,0.5 MG,0.878,20.000,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,1.658,20.000,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,52.234,20.000,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.258,20.000,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.863,20.000,,,,,,,
J7677,Revefenacin inh non-com 1mcg,1 MCG,0.196,20.000,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,29.624,20.000,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,737.376,20.000,,,,,,,
J8501,Oral aprepitant,5 MG,3.119,20.000,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,0.796,20.000,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,22.876,20.000,,,,,,,
J8530,Cyclophosphamide oral 25 mg,25 MG,0.953,20.000,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.103,20.000,,,,,,,
J8560,Etoposide oral 50 mg,50 MG,77.388,20.000,,,,,,,
J8610,Methotrexate oral 2.5 mg,2.5 MG,0.232,20.000,,,,,,,
J8655,"Oral netupitant, palonosetro",0.5 MG,419.562,17.251,,,,,,Updated October 2023 Inflation-adjusted coinsurance,
J8670,"Rolapitant, oral, 1mg",1 MG,1.625,20.000,,,,,,,
J8700,Temozolomide,5 MG,0.189,20.000,,,,,,,
J8705,Topotecan oral,0.25 mg,112.300,20.000,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,2.501,20.000,,,,,,,
J9017,Arsenic trioxide injection,1 MG,12.966,20.000,,,,,,,
J9021,"Inj, aspara, rylaze, 0.1 mg",0.1 MG,49.530,20.000,,,,,,,
J9022,"Inj, atezolizumab,10 mg",10 MG,82.678,20.000,,,,,,,
J9023,"Injection, avelumab, 10 mg",10 MG,90.569,20.000,,,,,,,
J9025,Azacitidine injection,1 MG,0.402,20.000,,,,,,,
J9027,Clofarabine injection,1 MG,29.424,20.000,,,,,,,
J9030,Bcg live intravesical 1mg,1 MG,2.894,20.000,,,,,,,
J9032,"Injection, belinostat, 10mg",10 MG,47.622,20.000,,,,,,,
J9033,"Inj., treanda 1 mg",1 MG,12.282,20.000,,,,,,AMP-based payment limit,
J9034,"Inj., bendeka 1 mg",1 MG,16.508,20.000,,,,,,,
J9035,Bevacizumab injection,10 MG,73.579,20.000,,,,,,,
J9036,Inj. belrapzo/bendamustine,1 MG,16.716,20.000,,,,,,,
J9039,"Injection, blinatumomab",1 MCG,144.683,19.331,,,,,,Inflation-adjusted coinsurance,
J9040,Bleomycin sulfate injection,15 UNITS,24.533,20.000,,,,,,,
J9041,"Injection, bortezomib, 0.1mg",0.1 MG,3.031,20.000,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,221.964,19.494,,,,,,Inflation-adjusted coinsurance,
J9043,Cabazitaxel injection,1 MG,206.032,20.000,,,,,,,
J9045,Carboplatin injection,50 MG,2.408,20.000,,,,,,,
J9046,"Inj, bortezomib, dr. reddy's",0.1 MG,48.547,20.000,,,,,,,
J9047,"Injection, carfilzomib, 1 mg",1 MG,47.040,19.685,,,,,,Inflation-adjusted coinsurance,
J9049,"Inj, bortezomib, hospira",0.1 MG,4.033,20.000,,,,,,Updated January 2024,
J9050,Carmustine injection,100 MG,410.962,20.000,,,,,,,
J9055,Cetuximab injection,10 MG,72.078,20.000,,,,,,,
J9056,"Inj, bendamustine, 1 mg",1 MG,33.325,20.000,,,,,,Added July 2023,
J9059,"Inj bendamustine, baxter 1mg",1 MG,23.958,20.000,,,,,,Added July 2023,
J9060,Cisplatin 10 mg injection,10 MG,3.172,20.000,,,,,,,
J9061,"Inj, amivantamab-vmjw",2 MG,19.631,19.990,,,,,,Inflation-adjusted coinsurance,
J9063,"Inj, elahere, 1 mg",1 MG,65.802,20.000,,,,,,Added July 2023,
J9065,Inj cladribine per 1 mg,1 MG,18.296,20.000,,,,,,,
J9070,Cyclophosphamide 100 mg inj,100 MG,17.087,20.000,,,,,,,
J9071,Inj cyclophosphamd auromedic,5 MG,1.187,20.000,,,,,,Updated October 2023,
J9100,Cytarabine hcl 100 mg inj,100 MG,0.917,20.000,,,,,,,
J9118,Inj. calaspargase pegol-mknl,10 UNIT,72.869,20.000,,,,,,,
J9119,"Inj., cemiplimab-rwlc, 1 mg",1 MG,26.923,20.000,,,,,,,
J9120,Dactinomycin injection,0.5 MG,720.157,20.000,,,,,,Updated January 2024,
J9130,Dacarbazine 100 mg inj,100 MG,4.050,20.000,,,,,,,
J9144,"Daratumumab, hyaluronidase",10 MG,49.120,20.000,,,,,,,
J9145,"Injection, daratumumab 10 mg",10 MG,61.783,20.000,,,,,,,
J9150,Daunorubicin injection,10 MG,45.622,20.000,,,,,,,
J9153,"Inj daunorubicin, cytarabine",1 MG/2.27 MG,227.232,20.000,,,,,,,
J9155,Degarelix injection,1 MG,4.194,20.000,,,,,,,
J9171,Docetaxel injection,1 MG,0.937,20.000,,,,,,,
J9173,"Inj., durvalumab, 10 mg",10 MG,79.763,20.000,,,,,,,
J9176,"Injection, elotuzumab, 1mg",1 MG,7.191,20.000,,,,,,,
J9177,Inj enfort vedo-ejfv 0.25mg,0.25 MG,33.818,19.658,,,,,,Inflation-adjusted coinsurance,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.344,20.000,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,128.777,20.000,,,,,,,
J9181,Etoposide injection,10 MG,0.704,20.000,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,604.748,20.000,,,,,,,
J9190,Fluorouracil injection,500 MG,1.830,20.000,,,,,,,
J9196,Inj gemcitabine hcl (accord),200 MG,3.715,20.000,,,,,,,
J9198,"Inj. infugem, 100 mg",100 MG,40.280,19.397,,,,,,Inflation-adjusted coinsurance,
J9200,Floxuridine injection,500 MG,3551.000,20.000,,,,,,,
J9201,In gemcitabine hcl nos 200mg,200 MG,3.706,20.000,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,613.565,20.000,,,,,,,
J9203,Gemtuzumab ozogamicin 0.1 mg,0.1 MG,221.843,20.000,,,,,,,
J9204,"Inj mogamulizumab-kpkc, 1 mg",1 MG,226.706,20.000,,,,,,,
J9205,Inj irinotecan liposome 1 mg,1 MG,61.964,20.000,,,,,,,
J9206,Irinotecan injection,20 MG,3.003,20.000,,,,,,,
J9207,Ixabepilone injection,1 MG,122.548,20.000,,,,,,,
J9208,Ifosfamide injection,1 GM,25.384,20.000,,,,,,,
J9209,Mesna injection,200 MG,1.669,20.000,,,,,,,
J9210,"Inj., emapalumab-lzsg, 1 mg",1 MG,393.723,20.000,,,,,,,
J9211,Idarubicin hcl injection,5 MG,33.898,20.000,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,32.574,20.000,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,165.863,20.000,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,10.057,20.000,,,,,,,
J9223,"Inj. lurbinectedin, 0.1 mg",0.1 MG,197.177,20.000,,,,,,,
J9226,Supprelin la implant,50 MG,43270.018,20.000,,,,,,,
J9227,Inj. isatuximab-irfc 10 mg,10 MG,74.349,20.000,,,,,,,
J9228,Ipilimumab injection,1 MG,167.933,20.000,,,,,,,
J9229,Inj inotuzumab ozogam 0.1 mg,0.1 MG,2529.553,20.000,,,,,,,
J9245,Inj melpha hydroch nos 50 mg,50 MG,154.188,20.000,,,,,,,
J9246,"Inj., evomela, 1 mg",1 MG,16.441,20.000,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.274,20.000,,,,,,,
J9260,Methotrexate sodium inj,50 MG,2.710,20.000,,,,,,,
J9261,Nelarabine injection,50 MG,128.994,20.000,,,,,,,
J9262,"Inj, omacetaxine mep, 0.01mg",0.01 MG,4.007,18.895,,,,,,Inflation-adjusted coinsurance,
J9263,Oxaliplatin,0.5 MG,0.068,20.000,,,,,,,
J9264,Paclitaxel protein bound,1 MG,12.056,20.000,,,,,,,
J9266,Pegaspargase injection,1 EA,25762.460,19.129,,,,,,Inflation-adjusted coinsurance,
J9267,Paclitaxel injection,1 MG,0.122,20.000,,,,,,,
J9268,Pentostatin injection,10 MG,2387.725,18.882,,,,,,Inflation-adjusted coinsurance,
J9269,Inj. tagraxofusp-erzs 10 mcg,10 MCG,322.596,20.000,,,,,,,
J9271,Inj pembrolizumab,1 MG,54.811,20.000,,,,,,,
J9272,"Inj, dostarlimab-gxly, 10 mg",10 MG,226.925,20.000,,,,,,,
J9273,"Inj tisotu vedotin-tftv, 1mg",1 MG,162.051,20.000,,,,,,,
J9274,"Inj, tebentafusp-tebn, 1 mcg",1 MCG,203.827,20.000,,,,,,,
J9280,Mitomycin injection,5 MG,79.024,20.000,,,,,,,
J9281,Mitomycin instillation,1 MG,296.173,20.000,,,,,,,
J9293,Mitoxantrone hydrochl / 5 mg,5 MG,29.060,20.000,,,,,,,
J9294,"Inj pemetrexed, hospira 10mg",10 MG,9.997,20.000,,,,,,,
J9295,"Injection, necitumumab, 1 mg",1 MG,5.737,20.000,,,,,,,
J9296,Inj pemetrexed (accord) 10mg,10 MG,9.656,20.000,,,,,,,
J9297,Inj pemetrexed (sandoz) 10mg,10 MG,1.731,20.000,,,,,,,
J9298,Inj nivol relatlimab 3mg/1mg,3 mg/1 mg,183.630,20.000,,,,,,,
J9299,"Injection, nivolumab",1 MG,30.457,20.000,,,,,,,
J9301,Obinutuzumab inj,10 MG,70.546,20.000,,,,,,,
J9303,Panitumumab injection,10 MG,149.709,19.646,,,,,,Inflation-adjusted coinsurance,
J9304,"Inj. pemetrexed, 10 mg",10 MG,64.476,20.000,,,,,,,
J9305,Inj. pemetrexed nos 10mg,10 MG,7.933,20.000,,,,,,,
J9306,"Injection, pertuzumab, 1 mg",1 MG,15.366,20.000,,,,,,,
J9307,Pralatrexate injection,1 MG,356.512,19.902,,,,,,Inflation-adjusted coinsurance,
J9308,"Injection, ramucirumab",5 MG,68.870,20.000,,,,,,,
J9309,"Inj, polatuzumab vedotin 1mg",1 MG,121.252,20.000,,,,,,,
J9311,"Inj rituximab, hyaluronidase",10 mg,37.458,20.000,,,,,,,
J9312,"Inj., rituximab, 10 mg",10 MG,81.037,20.000,,,,,,,
J9313,"Inj., lumoxiti, 0.01 mg",0.01 MG,23.394,20.000,,,,,,,
J9314,Inj pemetrexed (teva) 10mg,10 MG,12.300,20.000,,,,,,,
J9316,"Pertuzu, trastuzu, 10 mg",10 MG,68.210,20.000,,,,,,,
J9317,Sacituzumab govitecan-hziy,2.5 MG,33.315,20.000,,,,,,,
J9319,Inj romidepsin lyophil 0.1mg,0.1 MG,30.370,20.000,,,,,,,
J9320,Streptozocin injection,1 GM,370.184,20.000,,,,,,,
J9325,Inj talimogene laherparepvec,1 million PFU,66.054,19.570,,,,,,Inflation-adjusted coinsurance,
J9328,Temozolomide injection,1 MG,10.410,20.000,,,,,,,
J9330,Temsirolimus injection,1 MG,33.570,20.000,,,,,,Updated January 2024,
J9331,Inj sirolimus prot part 1 mg,1 MG,107.606,20.000,,,,,,,
J9332,Inj efgartigimod 2mg,2 MG,31.811,20.000,,,,,,,
J9340,Thiotepa injection,15 MG,259.563,20.000,,,,,,,
J9347,"Inj, tremelimumab-actl, 1 mg",1 MG,136.560,20.000,,,,,,Added July 2023,
J9348,"Inj. naxitamab-gqgk, 1 mg",1 MG,579.649,20.000,,,,,,Added July 2023,
J9349,"Inj., tafasitamab-cxix",2 MG,13.302,20.000,,,,,,,
J9351,Topotecan injection,0.1 MG,0.499,20.000,,,,,,,
J9352,Injection trabectedin 0.1mg,0.1 MG,337.279,20.000,,,,,,,
J9353,"Inj. margetuximab-cmkb, 5 mg",5 MG,45.881,20.000,,,,,,,
J9354,"Inj, ado-trastuzumab emt 1mg",1 MG,38.325,20.000,,,,,,,
J9355,Inj trastuzumab excl biosimi,10 MG,81.079,20.000,,,,,,,
J9356,"Inj. herceptin hylecta, 10mg",10 MG,65.583,20.000,,,,,,,
J9357,Valrubicin injection,200 MG,1391.799,20.000,,,,,,,
J9358,Inj fam-trastu deru-nxki 1mg,1 MG,26.318,20.000,,,,,,updated April 2024,
J9359,Inj lon tesirin-lpyl 0.075mg,0.075 MG,196.449,20.000,,,,,,,
