Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective July 1, 2018 through September 30, 2018",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q18 ASP data.,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J7517,Mycophenolate mofetil oral,250 MG,1.517,,,,,,Updated July 2019,
J7518,Mycophenolic acid,180 MG,3.082,,,,,,,
J7520,"Sirolimus, oral",1 MG,7.315,,,,,,AMP-based payment limit,
J7525,Tacrolimus injection,5 MG,206.318,,,,,,,
J7527,Oral everolimus,0.25 MG,8.608,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,9.870,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,10.821,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,4.379,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.159,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.201,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.046,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.060,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.142,,,,,,,
J7626,Budesonide non-comp unit,0.5 MG,3.525,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,7.695,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,47.725,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.217,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.538,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,48.651,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,584.325,,,,,,,
J8501,Oral aprepitant,5 MG,7.491,,,,,,,
J8510,Oral busulfan,2 MG,24.128,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,1.818,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,5.360,,,,,,,
J8530,Cyclophosphamide oral 25 mg,25 MG,4.046,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.085,,,,,,,
J8560,Etoposide oral 50 mg,50 MG,75.789,,,,,,,
J8600,Melphalan oral 2 mg,2 MG,11.677,,,,,,,
J8610,Methotrexate oral 2.5 mg,2.5 MG,1.139,,,,,,,
J8655,Netupitant palonosetron oral,0.5 MG,340.624,,,,,,,
J8670,"Rolapitant, oral, 1mg",1 MG,2.225,,,,,,,
J8700,Temozolomide,5 MG,0.923,,,,,,,
J8705,Topotecan oral,0.25 mg,103.859,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,3.071,,,,,,,
J9017,Arsenic trioxide injection,1 MG,77.064,,,,,,,
J9019,Erwinaze injection,"1,000 IU",414.825,,,,,,,
J9022,"Inj, atezolizumab,10 mg",10 MG,76.895,,,,,,,
J9023,"Injection, avelumab, 10 mg",10 MG,80.590,,,,,,,
J9025,Azacitidine injection,1 MG,1.509,,,,,,,
J9027,Clofarabine injection,1 MG,120.238,,,,,,,
J9031,Bcg live intravesical vac,1 EA,138.112,,,,,,,
J9032,"Injection, belinostat, 10mg",10 MG,37.255,,,,,,,
J9033,"Inj., treanda 1 mg",1 MG,30.747,,,,,,,
J9034,"Inj., bendeka 1 mg",1 MG,23.445,,,,,,,
J9035,Bevacizumab injection,10 MG,78.853,,,,,,,
J9039,"Injection, blinatumomab",1 MCG,109.923,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,27.818,,,,,,,
J9041,Bortezomib injection,0.1 MG,46.745,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,150.819,,,,,,,
J9043,Cabazitaxel injection,1 MG,163.586,,,,,,,
J9045,Carboplatin injection,50 MG,3.242,,,,,,,
J9047,"Injection, carfilzomib, 1 mg",1 MG,35.194,,,,,,,
J9050,Carmustine injection,100 MG,3921.506,,,,,,,
J9055,Cetuximab injection,10 MG,60.779,,,,,,,
J9060,Cisplatin 10 mg injection,10 MG,1.984,,,,,,,
J9065,Inj cladribine per 1 mg,1 MG,22.273,,,,,,,
J9070,Cyclophosphamide 100 mg inj,100 MG,41.827,,,,,,,
J9098,Cytarabine liposome inj,10 MG,628.368,,,,,,,
J9100,Cytarabine hcl 100 mg inj,100 MG,0.597,,,,,,AMP-based payment limit,
J9120,Dactinomycin injection,0.5 MG,1574.065,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,3.931,,,,,,,
J9145,"Injection, daratumumab 10 mg",10 MG,50.949,,,,,,,
J9150,Daunorubicin injection,10 MG,42.302,,,,,,,
J9155,Degarelix injection,1 MG,3.655,,,,,,,
J9171,Docetaxel injection,1 MG,1.813,,,,,,,
J9176,"Injection, elotuzumab, 1mg",1 MG,6.419,,,,,,,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.289,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,112.987,,,,,,,
J9181,Etoposide injection,10 MG,1.351,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,74.277,,,,,,,
J9190,Fluorouracil injection,500 MG,1.738,,,,,,,
J9200,Floxuridine injection,500 MG,89.210,,,,,,,
J9201,Gemcitabine hcl injection,200 MG,6.499,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,467.576,,,,,,,
J9203,Gemtuzumab ozogamicin 0.1 mg,0.1 MG,193.156,,,,,,,
J9205,Inj irinotecan liposome 1 mg,1 MG,45.632,,,,,,,
J9206,Irinotecan injection,20 MG,3.065,,,,,,,
J9207,Ixabepilone injection,1 MG,70.593,,,,,,,
J9208,Ifosfamide injection,1 GM,26.273,,,,,,,
J9209,Mesna injection,200 MG,2.472,,,,,,,
J9211,Idarubicin hcl injection,5 MG,35.445,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,34.380,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,218.174,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,33.196,,,,,,,
J9225,Vantas implant,50 MG,3452.330,,,,,,,
J9226,Supprelin la implant,50 MG,30441.898,,,,,,,
J9228,Ipilimumab injection,1 MG,148.631,,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,322.659,,,,,,,
J9245,Inj melphalan hydrochl 50 mg,50 MG,1055.916,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.245,,,,,,,
J9260,Methotrexate sodium inj,50 MG,2.458,,,,,,,
J9261,Nelarabine injection,50 MG,152.110,,,,,,,
J9263,Oxaliplatin,0.5 MG,0.205,,,,,,,
J9264,Paclitaxel protein bound,1 MG,11.228,,,,,,,
J9266,Pegaspargase injection,1 EA,15030.176,,,,,,,
J9267,Paclitaxel injection,1 MG,0.129,,,,,,,
J9268,Pentostatin injection,10 MG,2005.207,,,,,,,
J9271,Inj pembrolizumab,1 MG,48.574,,,,,,,
J9280,Mitomycin injection,5 MG,144.076,,,,,,,
J9285,"Inj, olaratumab, 10 mg",10 MG,51.036,,,,,,,
J9293,Mitoxantrone hydrochl / 5 mg,5 MG,29.877,,,,,,,
J9295,"Injection, necitumumab, 1 mg",1 MG,5.505,,,,,,,
J9299,"Injection, nivolumab",1 MG,27.155,,,,,,,
J9301,Obinutuzumab inj,10 MG,62.843,,,,,,,
J9302,Ofatumumab injection,10 MG,58.440,,,,,,,
J9303,Panitumumab injection,10 MG,114.036,,,,,,,
J9305,Pemetrexed injection,10 MG,67.459,,,,,,,
J9306,"Injection, pertuzumab, 1 mg",1 MG,11.807,,,,,,,
J9307,Pralatrexate injection,1 MG,267.077,,,,,,,
J9308,"Injection, ramucirumab",5 MG,57.666,,,,,,,
J9310,Rituximab injection,100 MG,915.296,,,,,,,
J9315,Romidepsin injection,1 MG,329.042,,,,,,,
J9320,Streptozocin injection,1 GM,343.987,,,,,,,
J9325,Inj talimogene laherparepvec,1 million PFU,49.700,,,,,,,
J9328,Temozolomide injection,1 MG,10.561,,,,,,,
J9330,Temsirolimus injection,1 MG,73.769,,,,,,,
J9351,Topotecan injection,0.1 MG,1.036,,,,,,,
J9352,Injection trabectedin 0.1mg,0.1 MG,296.419,,,,,,,
J9354,"Inj, ado-trastuzumab emt 1mg",1 MG,30.692,,,,,,,
J9355,Trastuzumab injection,10 MG,103.728,,,,,,,
J9357,Valrubicin injection,200 MG,1249.174,,,,,,,
J9360,Vinblastine sulfate inj,1 MG,3.809,,,,,,,
J9370,Vincristine sulfate 1 mg inj,1 MG,5.215,,,,,,,
J9371,"Inj, vincristine sul lip 1mg",1 MG,2807.145,,,,,,,
J9390,Vinorelbine tartrate inj,10 MG,17.233,,,,,,,
J9395,"Injection, fulvestrant",25 MG,97.242,,,,,,,
J9400,"Inj, ziv-aflibercept, 1mg",1 MG,8.085,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,11.799,,,95,11.799,,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,54.720,,,95,54.720,,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,22.488,,,95,22.488,,,
P9047,"Albumin (human), 25%, 50ml",50 ML,53.438,,,95,53.438,,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.961,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.961,,,,,,,
Q0162,Ondansetron oral,1 MG,0.042,,,,,,,
Q0163,Diphenhydramine hcl 50mg,50 MG,0.272,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,0.031,,,,,,,
Q0166,Granisetron hcl 1 mg oral,1 MG,1.473,,,,,,AMP-based payment limit,
Q0167,Dronabinol 2.5mg oral,2.5 MG,3.201,,,,,,AMP-based payment limit,
Q0169,Promethazine hcl 12.5mg oral,12.5 MG,0.021,,,,,,,
Q2035,"Afluria vacc, 3 yrs & >, im",0.5 ml,17.685,95,17.685,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
Q2037,"Fluvirin vacc, 3 yrs & >, im",0.5 ML,17.685,95,17.685,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
Q2043,Sipuleucel-t auto cd54+,Per infusion (minimum 50 million cells),41532.635,,,,,,,
Q2050,Doxorubicin inj 10mg,10 MG,372.492,,,,,,,
Q3027,Inj beta interferon im 1 mcg,1 MCG,54.175,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,141.833,,,,,,,
Q4081,"Epoetin alfa, 100 units esrd",100 UNITS,1.309,,,,,,,
Q4101,Apligraf,1 SQ CM,30.802,,,,,,,
Q4102,Oasis wound matrix,1 SQ CM,11.232,,,,,,,
Q4106,Dermagraft,1 SQ CM,33.050,,,,,,,
Q4107,Graftjacket,1 SQ CM,91.282,,,,,,,
Q4111,Gammagraft,1 SQ CM,7.758,,,,,,,
Q4112,Cymetra injectable,1 CC,972.550,,,,,,,
Q4113,Graftjacket xpress,1 CC,972.550,,,,,,,
Q4115,Alloskin,1 SQ CM,10.074,,,,,,,
Q4121,Theraskin,1 SQ CM,44.914,,,,,,,
Q4123,Alloskin,1 SQ CM,31.615,,,,,,,
Q4131,Epifix or epicord,1 SQ CM,160.624,,,,,,,
Q4132,"Grafix core, grafixpl core",1 SQ CM,133.902,,,,,,,
Q4133,Grafix prime grafix pl prime,1 SQ CM,132.486,,,,,,,
Q4172,Puraply or puraply am,1 SQ CM,87.666,,,,,,,
Q5101,Inj filgrastim gcsf biosimil,1 MCG,0.653,,,,,,,
Q5103,"Injection, inflectra",10 MG,64.979,,,,,,,
Q5104,"Injection, renflexis",10 MG,69.222,,,,,,,
Q5105,Inj Retacrit esrd on dialysi,100 UNITS,1.169,,,,,,Added July 2018,
Q5106,Inj Retacrit non-esrd use,1000 UNITS,11.692,,,,,,Added July 2018,
Q9950,Inj sulf hexa lipid microsph,1 ML,20.865,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,33.061,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,49.592,,,,,,,
Q9958,"Hocm <=149 mg/ml iodine, 1ml",1 ML,0.079,,,,,,,
Q9960,"Hocm 200-249mg/ml iodine,1ml",1 ML,0.241,,,,,,,
Q9961,"Hocm 250-299mg/ml iodine,1ml",1 ML,0.266,,,,,,,
Q9963,"Hocm 350-399mg/ml iodine,1ml",1 ML,0.207,,,,,,,
Q9965,"Locm 100-199mg/ml iodine,1ml",1 ML,0.895,,,,,,,
Q9966,"Locm 200-299mg/ml iodine,1ml",1 ML,0.336,,,,,,,
Q9967,"Locm 300-399mg/ml iodine,1ml",1 ML,0.122,,,,,,,
Q9991,Buprenorph xr 100 mg or less,Less than or equal to 100 MG,1674.800,,,,,,Added July 2018,
Q9992,Buprenorphine xr over 100 mg,Greater than 100 MG,1674.800,,,,,,Added July 2018,
Q9993,"Inj., triamcinolone ext rel",1 MG,18.881,,,,,,Added July 2018,
Q9995,"Inj. emicizumab-kxwh, 0.5 mg",0.5 MG,49.476,,,,,1,Added July 2018,
