Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective April 1, 2018 through June 30, 2018",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q17 ASP data.,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J7518,Mycophenolic acid,180 MG,2.645,,,,,,,
J7520,"Sirolimus, oral",1 MG,7.303,,,,,,AMP-based payment limit,
J7525,Tacrolimus injection,5 MG,192.807,,,,,,,
J7527,Oral everolimus,0.25 MG,8.371,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,9.429,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,12.717,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,6.271,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.161,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.246,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.050,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.128,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.153,,,,,,,
J7626,Budesonide non-comp unit,0.5 MG,3.061,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,8.547,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,45.464,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.223,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.532,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,42.309,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,557.061,,,,,,,
J8501,Oral aprepitant,5 MG,8.033,,,,,,,
J8510,Oral busulfan,2 MG,24.829,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,1.888,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,5.356,,,,,,,
J8530,Cyclophosphamide oral 25 mg,25 MG,3.645,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.078,,,,,,,
J8560,Etoposide oral 50 mg,50 MG,74.663,,,,,,,
J8600,Melphalan oral 2 mg,2 MG,11.725,,,,,,,
J8610,Methotrexate oral 2.5 mg,2.5 MG,0.388,,,,,,,
J8655,Netupitant palonosetron oral,0.5 MG,366.823,,,,,,,
J8670,"Rolapitant, oral, 1mg",1 MG,2.268,,,,,,Added April 2018,
J8700,Temozolomide,5 MG,0.966,,,,,,,
J8705,Topotecan oral,0.25 mg,103.729,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,2.678,,,,,,,
J9017,Arsenic trioxide injection,1 MG,71.815,,,,,,,
J9019,Erwinaze injection,"1,000 IU",409.061,,,,,,,
J9022,"Inj, atezolizumab,10 mg",10 MG,75.971,,,,,,,
J9023,"Injection, avelumab, 10 mg",10 MG,80.627,,,,,,,
J9025,Azacitidine injection,1 MG,1.439,,,,,,,
J9027,Clofarabine injection,1 MG,129.564,,,,,,,
J9031,Bcg live intravesical vac,1 EA,137.666,,,,,,,
J9032,"Injection, belinostat, 10mg",10 MG,36.270,,,,,,,
J9033,"Inj., treanda 1 mg",1 MG,30.209,,,,,,,
J9034,"Inj., bendeka 1 mg",1 MG,23.752,,,,,,,
J9035,Bevacizumab injection,10 MG,77.171,,,,,,,
J9039,"Injection, blinatumomab",1 MCG,107.468,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,28.555,,,,,,,
J9041,Bortezomib injection,0.1 MG,46.663,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,144.837,,,,,,,
J9043,Cabazitaxel injection,1 MG,163.856,,,,,,,
J9045,Carboplatin injection,50 MG,3.306,,,,,,,
J9047,"Injection, carfilzomib, 1 mg",1 MG,34.109,,,,,,,
J9050,Carmustine injection,100 MG,3854.588,,,,,,,
J9055,Cetuximab injection,10 MG,59.169,,,,,,,
J9060,Cisplatin 10 mg injection,10 MG,1.731,,,,,,,
J9065,Inj cladribine per 1 mg,1 MG,22.622,,,,,,,
J9070,Cyclophosphamide 100 mg inj,100 MG,41.869,,,,,,,
J9098,Cytarabine liposome inj,10 MG,628.368,,,,,,,
J9100,Cytarabine hcl 100 mg inj,100 MG,0.791,,,,,,,
J9120,Dactinomycin injection,0.5 MG,1580.573,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,3.976,,,,,,,
J9145,"Injection, daratumumab 10 mg",10 MG,50.394,,,,,,,
J9150,Daunorubicin injection,10 MG,41.579,,,,,,,
J9155,Degarelix injection,1 MG,3.694,,,,,,,
J9171,Docetaxel injection,1 MG,1.657,,,,,,,
J9176,"Injection, elotuzumab, 1mg",1 MG,6.347,,,,,,,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.420,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,111.284,,,,,,,
J9181,Etoposide injection,10 MG,0.725,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,76.616,,,,,,,
J9190,Fluorouracil injection,500 MG,1.621,,,,,,,
J9200,Floxuridine injection,500 MG,68.269,,,,,,AMP-based payment limit,
J9201,Gemcitabine hcl injection,200 MG,5.905,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,397.590,,,,,,,
J9203,Gemtuzumab ozogamicin 0.1 mg,0.1 MG,193.156,,,,,,,
J9205,Inj irinotecan liposome 1 mg,1 MG,42.594,,,,,,,
J9206,Irinotecan injection,20 MG,3.256,,,,,,,
J9207,Ixabepilone injection,1 MG,72.112,,,,,,,
J9208,Ifosfamide injection,1 GM,25.740,,,,,,,
J9209,Mesna injection,200 MG,2.298,,,,,,,
J9211,Idarubicin hcl injection,5 MG,34.280,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,31.086,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,209.297,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,25.794,,,,,,,
J9225,Vantas implant,50 MG,3465.845,,,,,,,
J9226,Supprelin la implant,50 MG,30323.337,,,,,,,
J9228,Ipilimumab injection,1 MG,148.782,,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,292.478,,,,,,,
J9245,Inj melphalan hydrochl 50 mg,50 MG,1117.993,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.257,,,,,,,
J9260,Methotrexate sodium inj,50 MG,2.577,,,,,,,
J9261,Nelarabine injection,50 MG,151.904,,,,,,,
J9263,Oxaliplatin,0.5 MG,0.255,,,,,,,
J9264,Paclitaxel protein bound,1 MG,11.115,,,,,,,
J9266,Pegaspargase injection,1 EA,14977.047,,,,,,,
J9267,Paclitaxel injection,1 MG,0.108,,,,,,,
J9268,Pentostatin injection,10 MG,2066.028,,,,,,,
J9271,Inj pembrolizumab,1 MG,48.705,,,,,,,
J9280,Mitomycin injection,5 MG,140.081,,,,,,,
J9285,"Inj, olaratumab, 10 mg",10 MG,50.032,,,,,,,
J9293,Mitoxantrone hydrochl / 5 mg,5 MG,32.137,,,,,,,
J9295,"Injection, necitumumab, 1 mg",1 MG,5.363,,,,,,,
J9299,"Injection, nivolumab",1 MG,27.152,,,,,,,
J9301,Obinutuzumab inj,10 MG,60.841,,,,,,,
J9302,Ofatumumab injection,10 MG,56.588,,,,,,,
J9303,Panitumumab injection,10 MG,111.938,,,,,,,
J9305,Pemetrexed injection,10 MG,66.167,,,,,,,
J9306,"Injection, pertuzumab, 1 mg",1 MG,11.505,,,,,,,
J9307,Pralatrexate injection,1 MG,262.320,,,,,,,
J9308,"Injection, ramucirumab",5 MG,56.927,,,,,,,
J9310,Rituximab injection,100 MG,883.683,,,,,,,
J9315,Romidepsin injection,1 MG,337.022,,,,,,,
J9320,Streptozocin injection,1 GM,342.792,,,,,,,
J9325,Inj talimogene laherparepvec,1 million PFU,48.597,,,,,,,
J9328,Temozolomide injection,1 MG,9.483,,,,,,,
J9330,Temsirolimus injection,1 MG,71.688,,,,,,,
J9351,Topotecan injection,0.1 MG,1.119,,,,,,,
J9352,Injection trabectedin 0.1mg,0.1 MG,295.127,,,,,,,
J9354,"Inj, ado-trastuzumab emt 1mg",1 MG,30.310,,,,,,,
J9355,Trastuzumab injection,10 MG,101.047,,,,,,,
J9357,Valrubicin injection,200 MG,1247.187,,,,,,,
J9360,Vinblastine sulfate inj,1 MG,3.534,,,,,,,
J9370,Vincristine sulfate 1 mg inj,1 MG,4.680,,,,,,,
J9371,"Inj, vincristine sul lip 1mg",1 MG,2807.145,,,,,,,
J9390,Vinorelbine tartrate inj,10 MG,17.811,,,,,,,
J9395,"Injection, fulvestrant",25 MG,96.875,,,,,,,
J9400,"Inj, ziv-aflibercept, 1mg",1 MG,8.124,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,11.799,,,95,11.799,,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,54.720,,,95,54.720,,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,22.488,,,95,22.488,,,
P9047,"Albumin (human), 25%, 50ml",50 ML,53.438,,,95,53.438,,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.947,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.947,,,,,,,
Q0162,Ondansetron oral,1 MG,0.056,,,,,,,
Q0163,Diphenhydramine hcl 50mg,50 MG,0.265,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,0.041,,,,,,,
Q0166,Granisetron hcl 1 mg oral,1 MG,1.943,,,,,,AMP-based payment limit,
Q0167,Dronabinol 2.5mg oral,2.5 MG,4.044,,,,,,,
Q0169,Promethazine hcl 12.5mg oral,12.5 MG,0.023,,,,,,,
Q2035,"Afluria vacc, 3 yrs & >, im",0.5 ml,17.685,95,17.685,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
Q2037,"Fluvirin vacc, 3 yrs & >, im",0.5 ML,17.685,95,17.685,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
Q2043,Sipuleucel-t auto cd54+,Per infusion (minimum 50 million cells),41827.196,,,,,,,
Q2050,Doxorubicin inj 10mg,10 MG,376.164,,,,,,,
Q3027,Inj beta interferon im 1 mcg,1 MCG,50.171,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,135.030,,,,,,,
Q4081,"Epoetin alfa, 100 units esrd",100 UNITS,1.300,,,,,,,
Q4101,Apligraf,1 SQ CM,30.895,,,,,,,
Q4102,Oasis wound matrix,1 SQ CM,11.020,,,,,,,
Q4106,Dermagraft,1 SQ CM,32.736,,,,,,,
Q4107,Graftjacket,1 SQ CM,95.428,,,,,,,
Q4111,Gammagraft,1 SQ CM,7.832,,,,,,,
Q4112,Cymetra injectable,1 CC,192.075,,,,,,,
Q4113,Graftjacket xpress,1 CC,192.075,,,,,,,
Q4115,Alloskin,1 SQ CM,9.458,,,,,,,
Q4116,Alloderm,1 SQ CM,31.109,,,,,,,
Q4121,Theraskin,1 SQ CM,42.753,,,,,,,
Q4123,Alloskin,1 SQ CM,22.202,,,,,,,
Q4131,Epifix or epicord,1 SQ CM,160.244,,,,,,,
Q4132,"Grafix core, grafixpl core",1 SQ CM,136.336,,,,,,,
Q4133,Grafix prime grafix pl prime,1 SQ CM,133.912,,,,,,,
Q4172,Puraply or puraply am,1 SQ CM,69.733,,,,,,Added April 2018,
Q5101,Inj filgrastim gcsf biosimil,1 MCG,0.681,,,,,,,
Q5103,"Injection, inflectra",10 MG,69.712,,,,,,,
Q5104,"Injection, renflexis",10 MG,70.378,,,,,,,
Q9950,Inj sulf hexa lipid microsph,1 ML,20.972,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,33.556,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,50.334,,,,,,,
Q9958,"Hocm <=149 mg/ml iodine, 1ml",1 ML,0.079,,,,,,,
Q9960,"Hocm 200-249mg/ml iodine,1ml",1 ML,0.257,,,,,,,
Q9961,"Hocm 250-299mg/ml iodine,1ml",1 ML,0.283,,,,,,,
Q9963,"Hocm 350-399mg/ml iodine,1ml",1 ML,0.206,,,,,,,
Q9965,"Locm 100-199mg/ml iodine,1ml",1 ML,0.836,,,,,,,
Q9966,"Locm 200-299mg/ml iodine,1ml",1 ML,0.331,,,,,,,
Q9967,"Locm 300-399mg/ml iodine,1ml",1 ML,0.125,,,,,,,
