Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2012 through December 31, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q12 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J7110,Dextran 75 infusion,500 ML,14.522,,,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,1.015,,,,,,,,,,
J7183,Wilate injection,1 I.U. VWF:RCO,0.879,,,,,,,1,,,
J7185,Xyntha inj,1 IU,1.1,,,,,,,1,,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.925,,,,,,,1,,,
J7187,"Humate-P, inj",1 IU,0.904,,,,,,,1,,,
J7189,Factor viia,1 MCG,1.611,,,,,,,1,,,
J7190,Factor viii,1 IU,0.902,,,,,,,1,,,
J7192,Factor viii recombinant NOS,1 IU,1.112,,,,,,,1,,,
J7193,Factor IX non-recombinant,1 IU,0.942,,,,,,,1,,,
J7194,Factor ix complex,1 IU,1.028,,,,,,,1,,,
J7195,Factor IX recombinant,1 IU,1.241,,,,,,,1,,,
J7197,Antithrombin iii injection,1 IU,3.042,,,,,,,,,,
J7198,Anti-inhibitor,1 IU,1.627,,,,,,,1,,,
J7308,Aminolevulinic acid hcl top,354 MG,161.184,,,,,,,,,,
J7309,"Methyl aminolevulinate, top",1 GM,75.947,,,,,,,,,,
J7310,Ganciclovir long act implant,4.5 MG,16960,,,,,,,,,,
J7311,Fluocinolone acetonide implt,0.59 MG,19345,,,,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,195.764,,,,,,,,,,
J7321,Hyalgan/supartz inj per dose,per dose,92.246,,,,,,,,,,
J7323,Euflexxa inj per dose,per dose,151.089,,,,,,,,,,
J7324,Orthovisc inj per dose,per dose,169.905,,,,,,,,,,
J7325,Synvisc or Synvisc-One,1 MG,12.219,,,,,,,,,,
J7326,Gel-One,per dose,614.906,,,,,,,,,,
J7330,Cultured chondrocytes implnt,1 EA,29193.23,,,,,,,,,,
J7335,Capsaicin 8% patch,10 SQ CM,25.554,,,,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,0.064,,,,,,,,,,
J7501,Azathioprine parenteral,100 MG,144.62,,,,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,3.219,,,,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,646.104,,,,,,,,,,
J7505,Monoclonal antibodies,5 MG,1156.078,,,,,,,,,,
J7506,Prednisone oral,5 MG,0.054,,,,,,,,,,
J7507,Tacrolimus oral per 1 MG,1 MG,2.091,,,,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.679,,,,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.029,,,,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,465.734,,,,,,,,,,
J7513,"Daclizumab, parenteral",25 MG,526.343,,,,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.884,,,,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,30.612,,,,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,1.283,,,,,,,,Updated Dec 12,,
J7518,Mycophenolic acid,180 MG,3.603,,,,,,,,,,
J7520,"Sirolimus, oral",1 MG,11.551,,,,,,,,,,
J7525,Tacrolimus injection,5 MG,139.36,,,,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,5.223,,,,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,5.213,,,,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,2.165,,,,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.109,,,,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.284,,,,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.053,,,,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.261,,,,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.21,,,,,,,,,,
J7626,Budesonide non-comp unit,0.5 MG,4.867,,,,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,0.529,,,,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,30.641,,,,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.253,,,,,,,,,,
J7665,Mannitol for inhaler,5 MG,0.631,,,,,,,,,,
J7669,Metaproterenol non-comp unit,10 MG,0.252,,,,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.498,,,,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,92.449,,,,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,438.931,,,,,,,,,,
J8501,Oral aprepitant,5 MG,6.29,,,,,,,,,,
J8510,Oral busulfan,2 MG,5.308,,,,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,8.275,,,,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,27.551,,,,,,,,,,
J8530,Cyclophosphamide oral 25 MG,25 MG,0.946,,,,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.351,,,,,,,,,,
J8560,Etoposide oral 50 MG,50 MG,52.165,,,,,,,,,,
J8561,Oral everolimus,0.25 MG,6.179,,,,,,,,,,
J8562,Oral fludarabine phosphate,10 MG,81.772,,,,,,,,,,
J8600,Melphalan oral 2 MG,2 MG,8.22,,,,,,,,,,
J8610,Methotrexate oral 2.5 MG,2.5 MG,0.12,,,,,,,,,,
J8700,Temozolomide,5 MG,10.674,,,,,,,,,,
J8705,Topotecan oral,0.25 mg,83.926,,,,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,3.735,,,,,,,,Updated July 2013,,
J9010,Alemtuzumab injection,10 MG,587.78,,,,,,,,,,
J9015,Aldesleukin injection,1 EA,1246.984,,,,,,,,,,
J9017,Arsenic trioxide injection,1 MG,44.994,,,,,,,,,,
J9020,Asparaginase injection,10000 UNITS,63.21,,,,,,,,,,
J9025,Azacitidine injection,1 MG,5.523,,,,,,,,,,
J9027,Clofarabine injection,1 MG,125.759,,,,,,,,,,
J9031,Bcg live intravesical vac,1 EA,116.811,,,,,,,,,,
J9033,Bendamustine injection,1 MG,20.614,,,,,,,,,,
J9035,Bevacizumab injection,10 MG,62.319,,,,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,24.163,,,95,289.370,,,,,,
J9041,Bortezomib injection,0.1 MG,43.473,,,,,,,,,,
J9043,Cabazitaxel injection,1 MG,136.071,,,,,,,,,,
J9045,Carboplatin injection,50 MG,3.283,,,,,,,,,,
J9050,Carmustine injection,100 MG,175.759,,,,,,,,,,
J9055,Cetuximab injection,10 MG,51.094,,,,,,,,,,
J9060,Cisplatin 10 MG injection,10 MG,1.899,,,,,,,,,,
J9065,Inj cladribine per 1 MG,1 MG,28.243,,,95,61.720,,,,,,
J9070,Cyclophosphamide 100 MG inj,100 MG,23.475,,,,,,,,,,
J9098,Cytarabine liposome inj,10 MG,523.865,,,,,,,,,,
J9100,Cytarabine hcl 100 MG inj,100 MG,0.95,,,95,8.190,,,,,,
J9120,Dactinomycin injection,0.5 MG,578.931,,,,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,3.402,,,,,,,,,,
J9150,Daunorubicin injection,10 MG,19.187,,,,,,,,,,
J9155,Degarelix injection,1 MG,2.992,,,,,,,,,,
J9160,Denileukin diftitox inj,300 MCG,1646.18,,,,,,,,,,
J9171,Docetaxel injection,1 MG,6.694,,,,,,,,,,
J9175,Elliotts b solution per ml,1 ML,4.074,,,,,,,,,,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.605,,,,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,92.807,,,,,,,,,,
J9181,Etoposide injection,10 MG,0.779,,,,,,,,Updated July 2013,,
J9185,Fludarabine phosphate inj,50 MG,84.878,,,,,,,,,,
J9190,Fluorouracil injection,500 MG,2.34,,,95,2.070,,,,,,
J9200,Floxuridine injection,500 MG,52.388,,,95,136.800,,,,,,
J9201,Gemcitabine hcl injection,200 MG,12.246,,,,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,166.011,,,,,,,,,,
J9206,Irinotecan injection,20 MG,4.378,,,,,,,,,,
J9207,Ixabepilone injection,1 MG,66.493,,,,,,,,,,
J9208,Ifosfamide injection,1 GM,30.493,,,95,150.380,,,,,,
J9209,Mesna injection,200 MG,3.785,,,,,,,,Updated July 2013,,
J9211,Idarubicin hcl injection,5 MG,100.004,,,,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,19.055,,,,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,217.017,,,,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,5.979,,,,,,,,,,
J9219,Leuprolide acetate implant,65 MG,4819.82,,,,,,,,,,
J9225,Vantas implant,50 MG,3016.495,,,,,,,,,,
J9226,Supprelin LA implant,50 MG,16172.579,,,,,,,,,,
J9228,Ipilimumab injection,1 MG,125.158,,,,,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,157.855,,,,,,,,,,
J9245,Inj melphalan hydrochl 50 MG,50 MG,1312.538,,,,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.193,,,,,,,,,,
J9260,Methotrexate sodium inj,50 MG,1.957,,,,,,,,Updated July 2013,,
J9261,Nelarabine injection,50 MG,122.645,,,,,,,,,,
J9263,Oxaliplatin,0.5 MG,9.245,,,,,,,,,,
J9264,Paclitaxel protein bound,1 MG,9.591,,,,,,,,,,
J9265,Paclitaxel injection,30 MG,6.689,,,,,,,,Updated July 2013,,
J9266,Pegaspargase injection,1 EA,5889.996,,,,,,,,,,
J9268,Pentostatin injection,10 MG,946.921,,,,,,,,,,
J9280,Mitomycin 5 MG inj,5 MG,22.9,,,95,127.400,,,,,,
J9293,Mitoxantrone hydrochl / 5 MG,5 MG,36.218,,,,,,,,,,
J9300,Gemtuzumab ozogamicin inj,5 MG,2742.591,,,,,,,,,,
J9302,Ofatumumab injection,10 MG,45.442,,,,,,,,,,
J9303,Panitumumab injection,10 MG,89.021,,,,,,,,,,
J9305,Pemetrexed injection,10 MG,56.511,,,,,,,,,,
J9307,Pralatrexate injection,1 MG,173.936,,,,,,,,,,
J9310,Rituximab injection,100 MG,659.716,,,,,,,,,,
J9315,Romidepsin injection,1 MG,233.162,,,,,,,,,,
J9320,Streptozocin injection,1 GM,274.157,,,,,,,,,,
J9328,Temozolomide injection,1 MG,4.824,,,,,,,,,,
J9330,Temsirolimus injection,1 MG,53.505,,,,,,,,,,
J9340,Thiotepa injection,15 MG,175.301,,,,,,,,,,
J9351,Topotecan injection,0.1 MG,3.128,,,,,,,,,,
J9355,Trastuzumab injection,10 MG,76.396,,,95,58.130,,,,,,
J9357,Valrubicin injection,200 MG,1006.266,,,,,,,,,,
J9360,Vinblastine sulfate inj,1 MG,1.069,,,95,4.100,,,,,,
J9370,Vincristine sulfate 1 MG inj,1 MG,3.603,,,95,33.980,,,,,,
J9390,Vinorelbine tartrate inj,10 MG,9.157,,,,,,,,,,
J9395,"Injection, Fulvestrant",25 MG,87.038,,,,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,9.546,,,,,95,9.546,,,,
P9043,"Plasma protein fract,5%,50ml",50 ML,8.333,,,,,95,8.333,,,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,47.728,,,,,95,47.728,,,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,19.68,,,,,95,19.680,,,,
P9047,"Albumin (human), 25%, 50ml",50 ML,49.201,,,,,95,49.201,,,,
P9048,"Plasmaprotein fract,5%,250ml",250 ML,41.667,,,,,95,41.667,,,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.638,,,,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.638,,,,,,,,,,
Q0162,Ondansetron oral,1 MG,0.055,,,,,,,,,,
Q0163,Diphenhydramine HCl 50mg,50 MG,0.02,,,,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,0.05,,,,,,,,,,
Q0165,Prochlorperazine maleate10mg,10 MG,0.049,,,,,,,,,,
Q0166,Granisetron hcl 1 mg oral,1 MG,1.641,,,,,,,,,,
Q0167,Dronabinol 2.5mg oral,2.5 MG,3.584,,,,,,,,,,
Q0168,Dronabinol 5mg oral,5 MG,7.293,,,,,,,,,,
Q0169,Promethazine HCl 12.5mg oral,12.5 MG,0.077,,,,,,,,,,
Q0170,Promethazine HCl 25 mg oral,25 MG,0.032,,,,,,,,,,
Q0180,Dolasetron mesylate oral,100 MG,69.499,,,,,,,,,,
Q0515,Sermorelin acetate injection,1 MCG,1.8,,,,,,,,,,
Q2009,Fosphenytoin inj PE,50 MG,0.919,,,,,,,,,,
Q2017,"Teniposide, 50 mg",50 MG,321.833,,,,,,,,,,
Q2035,"Afluria vacc, 3 yrs & >, im",0.5 ml,11.543,95,11.543,,,,,,,,
Q2036,"Flulaval vacc, 3 yrs & >, im",0.5 ML,9.833,95,9.833,,,,,,,,
Q2037,"Fluvirin vacc, 3 yrs & >, im",0.5 ML,14.051,95,14.051,,,,,,,,
Q2038,"Fluzone vacc, 3 yrs & >, im",0.5 ML,12.046,95,12.046,,,,,,,,
Q2043,Sipuleucel-T auto CD54+,Per infusion (minimum 50 million cells),32696.247,,,,,,,,,,
Q2046,Aflibercept injection,1 MG,980.5,,,,,,,,,,
Q2047,Peginesatide injection,0.1 MG,11.459,,,,,,,,,,
Q2048,Doxil injection,10 MG,532.034,,,,,,,,,,
Q2049,Imported Lipodox inj,10 MG,498.265,,,,,,,,,,
Q3025,IM inj interferon beta 1-a,11 MCG,287.09,,,,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,73.67,,,,,,,,,,
Q4081,"Epoetin alfa, 100 units ESRD",100 UNITS,0.987,,,,,,,,,,
Q4101,Apligraf skin sub,1 SQ CM,38.059,,,,,,,,,,
Q4102,Oasis wound matrix skin sub,1 SQ CM,7.776,,,,,,,,,,
Q4103,Oasis burn matrix skin sub,1 SQ CM,7.776,,,,,,,,,,
Q4104,Integra BMWD skin sub,1 SQ CM,20.972,,,,,,,,,,
Q4105,Integra DRT skin sub,1 SQ CM,11.397,,,,,,,,,,
Q4106,Dermagraft skin sub,1 SQ CM,42.573,,,,,,,,,,
Q4107,Graftjacket skin sub,1 SQ CM,98.389,,,,,,,,,,
Q4108,Integra matrix skin sub,1 SQ CM,25.173,,,,,,,,,,
Q4110,Primatrix skin sub,1 SQ CM,37.758,,,,,,,,,,
Q4111,Gammagraft skin sub,1 SQ CM,6.873,,,,,,,,,,
Q4112,Cymetra allograft,1 CC,442.203,,,,,,,,,,
Q4113,Graftjacket express allograf,1 CC,442.203,,,,,,,,,,
Q4114,Integra flowable wound matri,1 CC,1176.137,,,,,,,,,,
Q4115,Alloskin,1 SQ CM,10.188,,,,,,,,,,
Q4116,Alloderm skin sub,1 SQ CM,32.211,,,,,,,,,,
Q4121,Theraskin,1 SQ CM,22.288,,,,,,,,,,
Q4123,Alloskin RT,1 SQ CM,13.372,,,,,,,,,,
Q9954,"Oral MR contrast, 100 ml",100 ML,9.34,,,,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,38.608,,,,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,57.913,,,,,,,,,,
Q9958,"HOCM <=149 mg/ml iodine, 1ml",1 ML,0.091,,,,,,,,,,
Q9960,"HOCM 200-249mg/ml iodine,1ml",1 ML,0.161,,,,,,,,,,
Q9961,"HOCM 250-299mg/ml iodine,1ml",1 ML,0.186,,,,,,,,,,
Q9963,"HOCM 350-399mg/ml iodine,1ml",1 ML,0.183,,,,,,,,,,
Q9965,"LOCM 100-199mg/ml iodine,1ml",1 ML,0.901,,,,,,,,,,
Q9966,"LOCM 200-299mg/ml iodine,1ml",1 ML,0.266,,,,,,,,Updated Apr 13,,
Q9967,"LOCM 300-399mg/ml iodine,1ml",1 ML,0.167,,,,,,,,Updated Apr 13,,
