Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2014 through December 31, 2014",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q14 ASP data. ,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,
processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
J7506,Prednisone oral,5 MG,0.078,,,,,,,,
J7507,Tacrolimus Imme Rel oral 1mg,1 MG,1.197,,,,,,,,updated April 2015
J7508,Tacrolimus Ex Rel oral 0.1mg,0.1 MG,0.395,,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.601,,,,,,,,updated April 2015
J7510,Prednisolone oral per 5 mg,5 MG,0.091,,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,594.740,,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.879,,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,33.838,,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,1.529,,,,,,,,updated April 2015
J7518,Mycophenolic acid,180 MG,3.405,,,,,,,,
J7520,"Sirolimus, oral",1 MG,16.226,,,,,,,,
J7525,Tacrolimus injection,5 MG,141.104,,,,,,,,
J7527,Oral everolimus,0.25 MG,6.852,,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,6.696,,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,7.459,,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,3.704,,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.114,,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.192,,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.056,,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.098,,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.171,,,,,,,,updated April 2015
J7626,Budesonide non-comp unit,0.5 MG,5.377,,,,,,,,AMP-based payment limit
J7631,Cromolyn sodium noncomp unit,10 MG,0.463,,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,35.753,,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.237,,,,,,,,
J7665,Mannitol for inhaler,5 MG,0.669,,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.515,,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,95.958,,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,482.998,,,,,,,,
J8501,Oral aprepitant,5 MG,7.676,,,,,,,,
J8510,Oral busulfan,2 MG,10.982,,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,8.674,,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,28.631,,,,,,,,
J8530,Cyclophosphamide oral 25 MG,25 MG,1.073,,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.195,,,,,,,,
J8560,Etoposide oral 50 MG,50 MG,57.087,,,,,,,,
J8600,Melphalan oral 2 MG,2 MG,9.416,,,,,,,,
J8610,Methotrexate oral 2.5 MG,2.5 MG,1.084,,,,,,,,
J8700,Temozolomide,5 MG,5.385,,,,,,,,
J8705,Topotecan oral,0.25 mg,94.739,,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,3.004,,,,,,,,
J9015,Aldesleukin injection,1 EA,2110.630,,,,,,,,
J9017,Arsenic trioxide injection,1 MG,53.583,,,,,,,,
J9019,Erwinaze injection,"1,000 IU",354.755,,,,,,,,
J9020,"Asparaginase, NOS",10000 UNITS,64.565,,,,,,,,
J9025,Azacitidine injection,1 MG,3.918,,,,,,,,updated April 2015
J9027,Clofarabine injection,1 MG,134.103,,,,,,,,
J9031,Bcg live intravesical vac,1 EA,121.959,,,,,,,,
J9033,Bendamustine injection,1 MG,22.212,,,,,,,,
J9035,Bevacizumab injection,10 MG,66.653,,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,20.716,,,95,289.370,,,,
J9041,Bortezomib injection,0.1 MG,46.081,,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,110.820,,,,,,,,
J9043,Cabazitaxel injection,1 MG,142.424,,,,,,,,
J9045,Carboplatin injection,50 MG,3.454,,,,,,,,
J9047,"Injection, Carfilzomib, 1 mg",1 MG,29.810,,,,,,,,
J9050,Carmustine injection,100 MG,1861.116,,,,,,,,
J9055,Cetuximab injection,10 MG,53.287,,,,,,,,
J9060,Cisplatin 10 MG injection,10 MG,2.038,,,,,,,,
J9065,Inj cladribine per 1 MG,1 MG,21.209,,,95,61.720,,,,
J9070,Cyclophosphamide 100 MG inj,100 MG,63.159,,,,,,,,
J9098,Cytarabine liposome inj,10 MG,561.391,,,,,,,,
J9100,Cytarabine hcl 100 MG inj,100 MG,0.935,,,95,8.190,,,,
J9120,Dactinomycin injection,0.5 MG,807.190,,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,3.637,,,,,,,,
J9150,Daunorubicin injection,10 MG,22.558,,,,,,,,
J9155,Degarelix injection,1 MG,3.545,,,,,,,,
J9171,Docetaxel injection,1 MG,4.586,,,,,,,,updated April 2015
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.347,,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,99.006,,,,,,,,
J9181,Etoposide injection,10 MG,0.680,,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,70.981,,,,,,,,
J9190,Fluorouracil injection,500 MG,2.057,,,95,2.070,,,,
J9200,Floxuridine injection,500 MG,55.652,,,95,136.800,,,,AMP-based payment limit
J9201,Gemcitabine hcl injection,200 MG,6.655,,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,225.022,,,,,,,,
J9206,Irinotecan injection,20 MG,4.195,,,,,,,,updated April 2015
J9207,Ixabepilone injection,1 MG,70.211,,,,,,,,
J9208,Ifosfamide injection,1 GM,33.412,,,95,150.380,,,,
J9209,Mesna injection,200 MG,2.837,,,,,,,,
J9211,Idarubicin hcl injection,5 MG,49.106,,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,21.174,,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,229.255,,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,7.184,,,,,,,,
J9225,Vantas implant,50 MG,3001.589,,,,,,,,
J9226,Supprelin LA implant,50 MG,18317.235,,,,,,,,
J9228,Ipilimumab injection,1 MG,133.609,,,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,189.629,,,,,,,,
J9245,Inj melphalan hydrochl 50 MG,50 MG,1226.630,,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.211,,,,,,,,
J9260,Methotrexate sodium inj,50 MG,2.105,,,,,,,,
J9261,Nelarabine injection,50 MG,138.872,,,,,,,,
J9263,Oxaliplatin,0.5 MG,0.575,,,,,,,,
J9264,Paclitaxel protein bound,1 MG,9.703,,,,,,,,
J9265,Paclitaxel injection,30 MG,3.818,,,,,,,,
J9266,Pegaspargase injection,1 EA,6220.797,,,,,,,,
J9268,Pentostatin injection,10 MG,1483.274,,,,,,,,
J9280,Mitomycin injection,5 MG,20.878,,,,,,,,AMP-based payment limit
J9293,Mitoxantrone hydrochl / 5 MG,5 MG,32.340,,,,,,,,
J9302,Ofatumumab injection,10 MG,47.755,,,,,,,,
J9303,Panitumumab injection,10 MG,94.788,,,,,,,,
J9305,Pemetrexed injection,10 MG,60.265,,,,,,,,
J9306,"Injection, Pertuzumab, 1 mg",1 MG,10.218,,,,,,,,
J9307,Pralatrexate injection,1 MG,197.122,,,,,,,,
J9310,Rituximab injection,100 MG,708.680,,,,,,,,
J9315,Romidepsin injection,1 MG,270.641,,,,,,,,
J9320,Streptozocin injection,1 GM,335.278,,,,,,,,
J9328,Temozolomide injection,1 MG,5.683,,,,,,,,
J9330,Temsirolimus injection,1 MG,58.830,,,,,,,,
J9351,Topotecan injection,0.1 MG,1.827,,,,,,,,
J9354,"Inj, Ado-trastuzumab Emt 1mg",1 MG,29.144,,,,,,,,
J9355,Trastuzumab injection,10 MG,82.490,,,95,58.130,,,,
J9357,Valrubicin injection,200 MG,1085.290,,,,,,,,
J9360,Vinblastine sulfate inj,1 MG,2.711,,,95,4.100,,,,
J9370,Vincristine sulfate 1 MG inj,1 MG,4.908,,,95,33.980,,,,
J9371,"Inj, vincristine sul lip 1 mg",1 MG,2148.204,,,,,,,,
J9390,Vinorelbine tartrate inj,10 MG,10.874,,,,,,,,
J9395,"Injection, Fulvestrant",25 MG,91.272,,,,,,,,
J9400,"Inj, ziv-aflibercept, 1mg",1 MG,8.123,,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,10.908,,,,,95,10.908,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,54.540,,,,,95,54.540,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,22.488,,,,,95,22.488,,
P9047,"Albumin (human), 25%, 50ml",50 ML,53.438,,,,,95,53.438,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.743,,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.743,,,,,,,,
Q0162,Ondansetron oral,1 MG,0.066,,,,,,,,
Q0163,Diphenhydramine HCl 50mg,50 MG,0.213,,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,0.036,,,,,,,,
Q0166,Granisetron hcl 1 mg oral,1 MG,1.844,,,,,,,,
Q0167,Dronabinol 2.5mg oral,2.5 MG,3.708,,,,,,,,
Q0169,Promethazine HCl 12.5mg oral,12.5 MG,0.080,,,,,,,,
Q0180,Dolasetron mesylate oral,100 MG,78.345,,,,,,,,
Q2035,"Afluria vacc, 3 yrs & >, im",0.5 ml,11.885,95,11.885,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
Q2036,"Flulaval vacc, 3 yrs & >, im",0.5 ML,8.579,95,8.579,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
Q2037,"Fluvirin vacc, 3 yrs & >, im",0.5 ML,15.396,95,15.396,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
Q2038,"Fluzone vacc, 3 yrs & >, im",0.5 ML,12.044,95,12.044,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
Q2043,Sipuleucel-T auto CD54+,Per infusion (minimum 50 million cells),35094.119,,,,,,,,
Q2049,Imported Lipodox inj,10 MG,508.429,,,,,,,,
Q2050,Doxorubicin inj 10mg,10 MG,490.486,,,,,,,,
Q3027,Inj beta interferon im 1 mcg,1 MCG,36.366,,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,95.011,,,,,,,,
Q4081,"Epoetin alfa, 100 units ESRD",100 UNITS,1.165,,,,,,,,
Q4101,Apligraf skin sub,1 SQ CM,33.611,,,,,,,,
Q4102,Oasis wound matrix skin sub,1 SQ CM,8.871,,,,,,,,
Q4104,Integra BMWD skin sub,1 SQ CM,21.111,,,,,,,,
Q4105,Integra DRT skin sub,1 SQ CM,11.013,,,,,,,,
Q4106,Dermagraft skin sub,1 SQ CM,38.596,,,,,,,,
Q4107,Graftjacket skin sub,1 SQ CM,99.279,,,,,,,,
Q4108,Integra matrix skin sub,1 SQ CM,29.052,,,,,,,,
Q4110,Primatrix skin sub,1 SQ CM,37.223,,,,,,,,
Q4111,Gammagraft skin sub,1 SQ CM,6.904,,,,,,,,
Q4112,Cymetra allograft,1 CC,381.991,,,,,,,,
Q4113,Graftjacket express allograf,1 CC,381.991,,,,,,,,
Q4114,Integra flowable wound matri,1 CC,1368.405,,,,,,,,
Q4115,Alloskin,1 SQ CM,7.703,,,,,,,,
Q4116,Alloderm skin sub,1 SQ CM,32.482,,,,,,,,
Q4121,Theraskin,1 SQ CM,32.416,,,,,,,,
Q4123,Alloskin RT,1 SQ CM,15.380,,,,,,,,
Q4131,Epifix,1 SQ CM,219.515,,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,37.240,,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,55.860,,,,,,,,
Q9958,"HOCM <=149 mg/ml iodine, 1ml",1 ML,0.092,,,,,,,,
Q9960,"HOCM 200-249mg/ml iodine,1ml",1 ML,0.174,,,,,,,,
Q9961,"HOCM 250-299mg/ml iodine,1ml",1 ML,0.200,,,,,,,,
Q9963,"HOCM 350-399mg/ml iodine,1ml",1 ML,0.197,,,,,,,,
Q9965,"LOCM 100-199mg/ml iodine,1ml",1 ML,1.120,,,,,,,,
Q9966,"LOCM 200-299mg/ml iodine,1ml",1 ML,0.208,,,,,,,,
Q9967,"LOCM 300-399mg/ml iodine,1ml",1 ML,0.237,,,,,,,,
Q9970,Inj Ferric Carboxymaltos 1mg,1 MG,1.049,,,,,,,,Added October 2014
Q9974,Morphine epidural/intratheca,10MG,9.631,,,,,,,,
