,,,,,,,,,,
Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective October 1, 2006 through December 31, 2006",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q06 ASP data. ,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,
processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood Limit,Notes
J7317,Sodium hyaluronate injection,20 - 25 MG,$106.709,,,,,,,
J7320,Hylan G-F 20 injection,16 MG,$198.739,,,,,,,
J7330,Cultured chondrocytes implnt,1 EA,"$18,262.316",,,,,,,
J7340,Metabolic active D/E tissue,1 SQ CM,$21.371,,,,,,,Revised 01/01/07
J7341,"Non-human, metabolic tissue",1 SQ CM,$1.784,,,,,,,
J7342,Metabolically active tissue,1 SQ CM,$13.868,,,,,,,
J7343,Nonmetabolic act d/e tissue,1 SQ CM,$18.493,,,,,,,
J7344,Nonmetabolic active tissue,1 SQ CM,$89.307,,,,,,,Revised 01/01/07
J7350,Injectable human tissue,10 MG,$22.544,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,$0.186,,,,,,,
J7501,Azathioprine parenteral,100 MG,$49.173,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,$3.664,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,$315.761,,,,,,,
J7505,Monoclonal antibodies,5 MG,$856.045,,,,,,,
J7506,Prednisone oral,5 MG,$0.180,,,,,,,Revised 01/01/07
J7507,Tacrolimus oral per 1 MG,1 MG,$3.549,,,,,,,
J7509,Methylprednisolone oral,4 MG,$0.078,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,$0.095,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,$329.618,,,,,,,
J7513,"Daclizumab, parenteral",25 MG,$328.833,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,$0.962,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,$19.670,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,$2.504,,,,,,,
J7518,Mycophenolic acid,180 MG,$2.148,,,,,,,
J7520,"Sirolimus, oral",1 MG,$7.247,,,,,,,
J7525,Tacrolimus injection,5 MG,$140.715,,,,,,,
J7608,Acetylcysteine inh sol u d,1 GM,$3.338,,,,,,,
J7611,Albuterol concentrated form,1 MG,$0.100,,,,,,,Revised 01/01/07
J7613,Albuterol unit dose,1 MG,$0.059,,,,,,,Revised 01/01/07
J7614,Levalbuterol unit dose,0.5 MG,$1.359,,,,,,,
J7620,Duoneb,2.5 MG/0.5 MG,$1.089,,,,,,,
J7626,Pulmicort,0.5 MG,$4.562,,,,,,,
J7631,Cromolyn sodium inh sol u d,10 MG,$0.053,,,,,,,Revised 01/01/07
J7639,Dornase alpha inhal sol u d,1 MG,$18.754,,,,,,,
J7644,Ipratropium brom inh sol u d,1 MG,$0.215,,,,,,,Revised 01/01/07
J7669,Metaproterenol inh sol u d,10 MG,$0.205,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,$0.409,,,,,,,
J7682,Tobramycin inhalation sol,300 MG,$55.633,,,,,,,
J8501,Oral aprepitant,5 MG,$4.846,,,,,,,Revised 01/01/07
J8510,Oral busulfan,2 MG,$2.139,,,,,,,
J8515,"Cabergoline, oral 0.25mg",0.25 MG,$16.387,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,$3.829,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,$12.753,,,,,,,
J8530,Cyclophosphamide oral 25 MG,25 MG,$0.995,,,,,,,
J8540,Oral dexamethasone,0.25 MG,$0.253,,,,,,,
J8560,Etoposide oral 50 MG,50 MG,$32.014,,,,,,,
J8610,Methotrexate oral 2.5 MG,2.5 MG,$0.253,,,,,,,
J8700,Temozolomide,5 MG,$7.296,,,,,,,Revised 01/01/2008
J9000,Doxorubic hcl 10 MG vl chemo,10 MG,$5.997,,,,,,,
J9001,Doxorubicin hcl liposome inj,10 MG,$379.213,,,95%,$393.480,,,
J9010,Alemtuzumab injection,10 MG,$531.238,,,,,,,
J9015,Aldesleukin/single use vial,1 EA,$726.694,,,,,,,
J9017,Arsenic trioxide,1 MG,$33.364,,,,,,,
J9020,Asparaginase injection,10000 UNITS,$54.463,,,,,,,
J9025,Azacitidine injection,1 MG,$4.221,,,,,,,
J9027,Clofarabine injection,1 MG,$116.622,,,,,,,
J9031,Bcg live intravesical vac,1 EA,$113.435,,,,,,,
J9035,Bevacizumab injection,10 MG,$56.877,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,$37.623,,,95%,$289.370,,,
J9041,Bortezomib injection,0.1 MG,$31.865,,,,,,,
J9045,Carboplatin injection,50 MG,$10.120,,,,,,,
J9050,Carmus bischl nitro inj,100 MG,$139.835,,,,,,,
J9055,Cetuximab injection,10 MG,$49.862,,,,,,,
J9060,Cisplatin 10 MG injection,10 MG,$2.262,,,,,,,
J9062,Cisplatin 50 MG injection,50 MG,$11.312,,,,,,,
J9065,Inj cladribine per 1 MG,1 MG,$37.869,,,95%,$61.720,,,
J9070,Cyclophosphamide 100 MG inj,100 MG,$1.916,,,,,,,
J9080,Cyclophosphamide 200 MG inj,200 MG,$3.832,,,,,,,
J9090,Cyclophosphamide 500 MG inj,500 MG,$15.534,,,,,,,
J9091,Cyclophosphamide 1.0 grm inj,1 GM,$19.159,,,,,,,
J9092,Cyclophosphamide 2.0 grm inj,2 GM,$38.317,,,,,,,
J9098,Cytarabine liposome,10 MG,$396.660,,,,,,,
J9100,Cytarabine hcl 100 MG inj,100 MG,$1.694,,,95%,$8.190,,,
J9110,Cytarabine hcl 500 MG inj,500 MG,$8.468,,,95%,$8.550,,,
J9120,Dactinomycin actinomycin d,0.5 MG,$493.430,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,$4.898,,,,,,,
J9140,Dacarbazine 200 MG inj,200 MG,$9.796,,,,,,,
J9150,Daunorubicin,10 MG,$24.562,,,,,,,
J9151,Daunorubicin citrate liposom,10 MG,$56.205,,,,,,,
J9160,"Denileukin diftitox, 300 mcg",300 MCG,"$1,403.228",,,,,,,
J9170,Docetaxel,20 MG,$302.681,,,,,,,
J9175,Elliotts b solution per ml,1 ML,$3.395,,,,,,,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,$24.674,,,,,,,
J9181,Etoposide 10 MG inj,10 MG,$0.497,,,,,,,
J9182,Etoposide 100 MG inj,100 MG,$4.974,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,$243.818,,,,,,,
J9190,Fluorouracil injection,500 MG,$1.882,,,95%,$2.070,,,
J9200,Floxuridine injection,500 MG,$64.168,,,95%,$136.800,,,
J9201,Gemcitabine HCl,200 MG,$121.304,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,$199.118,,,,,,,
J9206,Irinotecan injection,20 MG,$126.877,,,,,,,
J9208,Ifosfomide injection,1 GM,$52.390,,,95%,$150.380,,,
J9209,Mesna injection,200 MG,$10.097,,,,,,,
J9211,Idarubicin hcl injection,5 MG,$308.967,,,,,,,
J9212,Interferon alfacon-1,1 MCG,$4.645,,,,,,,
J9213,Interferon alfa-2a inj,3 MIL UNITS,$37.557,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,$13.752,,,,,,,Revised 01/01/2008
J9216,Interferon gamma 1-b inj,3 MIL UNITS,$289.865,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,$227.634,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,$11.095,,,,,,,
J9219,Leuprolide acetate implant,65 MG,"$2,208.902",,,,,,,
J9225,Histrelin implant,50 MG,"$1,741.707",,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,$141.608,,,,,,,
J9245,Inj melphalan hydrochl 50 MG,50 MG,"$1,194.154",,,,,,,
J9250,Methotrexate sodium inj,5 MG,$0.236,,,,,,,
J9260,Methotrexate sodium inj,50 MG,$2.448,,,,,,,
J9263,Oxaliplatin,0.5 MG,$8.769,,,,,,,
J9264,Paclitaxel injection,1 MG,$8.461,,,,,,,
J9265,Paclitaxel injection,30 MG,$15.112,,,,,,,Revised 01/01/07
J9266,Pegaspargase/singl dose vial,1 EA,"$1,687.043",,,,,,,
J9268,Pentostatin injection,10 MG,"$2,034.628",,,,,,,
J9280,Mitomycin 5 MG inj,5 MG,$18.314,,,95%,$127.400,,,
J9290,Mitomycin 20 MG inj,20 MG,$73.258,,,,,,,
J9291,Mitomycin 40 MG inj,40 MG,$146.515,,,,,,,
J9293,Mitoxantrone hydrochl / 5 MG,5 MG,$223.265,,,,,,,
J9300,Gemtuzumab ozogamicin,5 MG,"$2,317.160",,,,,,,
J9305,Pemetrexed injection,10 MG,$42.486,,,,,,,
J9310,Rituximab cancer treatment,100 MG,$481.689,,,,,,,
J9320,Streptozocin injection,1 GM,$152.916,,,,,,,
J9340,Thiotepa injection,15 MG,$44.584,,,,,,,
J9350,Topotecan,4 MG,$813.082,,,,,,,
J9355,Trastuzumab,10 MG,$56.170,,,95%,$58.130,,,
J9360,Vinblastine sulfate inj,1 MG,$0.970,,,95%,$4.100,,,
J9370,Vincristine sulfate 1 MG inj,1 MG,$6.685,,,95%,$33.980,,,
J9375,Vincristine sulfate 2 MG inj,2 MG,$13.371,,,95%,$67.960,,,
J9380,Vincristine sulfate 5 MG inj,5 MG,$33.427,,,95%,$169.910,,,
J9390,Vinorelbine tartrate/10 mg,10 MG,$22.823,,,,,,,
J9395,"Injection, Fulvestrant",25 MG,$80.664,,,,,,,
J9600,Porfimer sodium,75 MG,"$2,505.395",,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,$12.985,,,,,95%,$12.985,
P9043,"Plasma protein fract,5%,50ml",50 ML,$14.545,,,,,95%,$14.545,
P9045,"Albumin (human), 5%, 250 ml",250 ML,$55.100,,,,,95%,$55.100,
P9046,"Albumin (human), 25%, 20 ml",20 ML,$14.545,,,,,95%,$14.545,
P9047,"Albumin (human), 25%, 50ml",50 ML,$29.099,,,,,95%,$29.099,
P9048,"Plasmaprotein fract,5%,250ml",250 ML,$29.099,,,,,95%,$29.099,
Q0163,Diphenhydramine HCl 50mg,50 MG,$0.033,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,$0.053,,,,,,,
Q0165,Prochlorperazine maleate10mg,10 MG,$0.034,,,,,,,
Q0166,Granisetron HCl 1 mg oral,1 MG,$41.183,,,,,,,
Q0167,Dronabinol 2.5mg oral,2.5 MG,$4.921,,,,,,,
Q0168,Dronabinol 5mg oral,5 MG,$10.125,,,,,,,
Q0169,Promethazine HCl 12.5mg oral,12.5 MG,$0.390,,,,,,,
Q0170,Promethazine HCl 25 mg oral,25 MG,$0.406,,,,,,,
Q0171,Chlorpromazine HCl 10mg oral,10 MG,$0.022,,,,,,,
Q0172,Chlorpromazine HCl 25mg oral,25 MG,$0.051,,,,,,,
Q0173,Trimethobenzamide HCl 250mg,250 MG,$0.244,,,,,,,
Q0175,Perphenazine 4mg oral,4 MG,$0.217,,,,,,,Revised 01/01/07
Q0176,Perphenazine 8mg oral,8 MG,$0.229,,,,,,,Revised 01/01/07
Q0177,Hydroxyzine pamoate 25mg,25 MG,$0.059,,,,,,,
Q0178,Hydroxyzine pamoate 50mg,50 MG,$0.067,,,,,,,
Q0179,Ondansetron HCl 8mg oral,8 MG,$36.064,,,,,,,
Q0180,Dolasetron mesylate oral,100 MG,$48.912,,,,,,,
Q0515,Sermorelin acetate injection,1 MCG,$1.752,,,,,,,
Q2009,"Fosphenytoin, 50 mg",50 MG,$5.585,,,,,,,
Q2017,"Teniposide, 50 mg",50 MG,$264.883,,,,,,,
Q3025,IM inj interferon beta 1-a,11 MCG,$108.037,,,,,,,
Q4079,Natalizumab injection,1 MG,$7.719,,,,,,,
Q4080,Iloprost inhalation solution,20 MCG,$33.175,,,,,,,
Q9945,"LOCM <=149 mg/ml iodine, 1ml",1 ML,$0.291,,,,,,,
Q9946,"LOCM 150-199mg/ml iodine,1ml",1 ML,$1.963,,,,,,,
Q9947,"LOCM 200-249mg/ml iodine,1ml",1 ML,$1.424,,,,,,,
Q9948,"LOCM 250-299mg/ml iodine,1ml",1 ML,$0.265,,,,,,,
Q9949,"LOCM 300-349mg/ml iodine,1ml",1 ML,$0.351,,,,,,,
Q9950,"LOCM 350-399mg/ml iodine,1ml",1 ML,$0.214,,,,,,,
Q9952,"Inj Gad-base MR contrast,1ml",1 ML,$2.874,,,,,,,
Q9953,"Inj Fe-based MR contrast,1ml",1 ML,$30.406,,,,,,,
Q9954,"Oral MR contrast, 100 ml",100 ML,$8.902,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,$49.608,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,$61.635,,,,,,,
