Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective October 1, 2013 through December 31, 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q13 ASP data. ,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J7312,Dexamethasone intra implant,0.1 MG,195.912,,,,,,,,,
J7321,Hyalgan/supartz inj per dose,per dose,88.852,,,,,,,,,
J7323,Euflexxa inj per dose,per dose,153.414,,,,,,,,,
J7324,Orthovisc inj per dose,per dose,177.157,,,,,,,,,
J7325,Synvisc or Synvisc-One,1 MG,12.830,,,,,,,,,
J7326,Gel-One,per dose,613.284,,,,,,,,,
J7330,Cultured chondrocytes implnt,1 EA,30549.348,,,,,,,,,
J7335,Capsaicin 8% patch,10 SQ CM,25.554,,,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,0.124,,,,,,,,,
J7501,Azathioprine parenteral,100 MG,83.125,,,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,3.180,,,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,721.063,,,,,,,,,
J7505,Monoclonal antibodies,5 MG,1156.078,,,,,,,,,
J7506,Prednisone oral,5 MG,0.038,,,,,,,,,
J7507,Tacrolimus oral per 1 MG,1 MG,1.716,,,,,,,,updated July 2014,
J7509,Methylprednisolone oral,4 MG,0.535,,,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.035,,,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,569.528,,,,,,,,,
J7513,"Daclizumab, parenteral",25 MG,526.343,,,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.885,,,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,31.542,,,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,1.032,,,,,,,,updated July 2014,
J7518,Mycophenolic acid,180 MG,3.812,,,,,,,,,
J7520,"Sirolimus, oral",1 MG,13.280,,,,,,,,,
J7525,Tacrolimus injection,5 MG,136.893,,,,,,,,,
J7527,Oral everolimus,0.25 MG,6.475,,,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,5.550,,,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,6.300,,,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,1.961,,,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.103,,,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.229,,,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.049,,,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.123,,,,,,,,updated January 2014,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.180,,,,,,,,updated July 2014,
J7626,Budesonide non-comp unit,0.5 MG,5.952,,,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,0.495,,,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,32.778,,,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.240,,,,,,,,,
J7665,Mannitol for inhaler,5 MG,0.669,,,,,,,,,
J7669,Metaproterenol non-comp unit,10 MG,0.435,,,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.494,,,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,119.999,,,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,460.450,,,,,,,,,
J8501,Oral aprepitant,5 MG,6.688,,,,,,,,,
J8510,Oral busulfan,2 MG,11.029,,,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,9.687,,,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,32.191,,,,,,,,,
J8530,Cyclophosphamide oral 25 MG,25 MG,0.975,,,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.178,,,,,,,,,
J8560,Etoposide oral 50 MG,50 MG,55.677,,,,,,,,,
J8562,Oral fludarabine phosphate,10 MG,81.772,,,,,,,,,
J8600,Melphalan oral 2 MG,2 MG,8.734,,,,,,,,,
J8610,Methotrexate oral 2.5 MG,2.5 MG,1.082,,,,,,,,,
J8700,Temozolomide,5 MG,11.558,,,,,,,,,
J8705,Topotecan oral,0.25 mg,89.128,,,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,3.473,,,,,,,,,
J9010,Alemtuzumab injection,10 MG,623.633,,,,,,,,,
J9017,Arsenic trioxide injection,1 MG,49.400,,,,,,,,,
J9019,Erwinaze injection,"1,000 IU",344.378,,,,,,,,,
J9020,"Asparaginase, NOS",10000 UNITS,64.565,,,,,,,,,
J9025,Azacitidine injection,1 MG,5.744,,,,,,,,,
J9027,Clofarabine injection,1 MG,129.525,,,,,,,,,
J9031,Bcg live intravesical vac,1 EA,120.914,,,,,,,,,
J9033,Bendamustine injection,1 MG,21.060,,,,,,,,,
J9035,Bevacizumab injection,10 MG,64.622,,,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,21.044,,,95,289.370,,,,,
J9041,Bortezomib injection,0.1 MG,44.894,,,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,102.650,,,,,,,,,
J9043,Cabazitaxel injection,1 MG,139.109,,,,,,,,,
J9045,Carboplatin injection,50 MG,3.042,,,,,,,,,
J9050,Carmustine injection,100 MG,870.927,,,,,,,,,
J9055,Cetuximab injection,10 MG,52.555,,,,,,,,,
J9060,Cisplatin 10 MG injection,10 MG,2.111,,,,,,,,,
J9065,Inj cladribine per 1 MG,1 MG,23.994,,,95,61.720,,,,,
J9070,Cyclophosphamide 100 MG inj,100 MG,39.669,,,,,,,,,
J9098,Cytarabine liposome inj,10 MG,544.541,,,,,,,,,
J9100,Cytarabine hcl 100 MG inj,100 MG,0.965,,,95,8.190,,,,,
J9120,Dactinomycin injection,0.5 MG,645.749,,,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,3.985,,,,,,,,,
J9150,Daunorubicin injection,10 MG,30.020,,,,,,,,,
J9155,Degarelix injection,1 MG,3.717,,,,,,,,,
J9160,Denileukin diftitox inj,300 MCG,1646.180,,,,,,,,,
J9171,Docetaxel injection,1 MG,4.909,,,,,,,,updated July 2014,
J9175,Elliotts b solution per ml,1 ML,4.074,,,,,,,,,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.180,,,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,98.432,,,,,,,,,
J9181,Etoposide injection,10 MG,0.714,,,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,84.169,,,,,,,,,
J9190,Fluorouracil injection,500 MG,1.995,,,95,2.070,,,,,
J9200,Floxuridine injection,500 MG,67.077,,,95,136.800,,,,,
J9201,Gemcitabine hcl injection,200 MG,7.961,,,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,194.192,,,,,,,,,
J9206,Irinotecan injection,20 MG,5.197,,,,,,,,updated July 2014,
J9207,Ixabepilone injection,1 MG,68.645,,,,,,,,,
J9208,Ifosfamide injection,1 GM,31.041,,,95,150.380,,,,,
J9209,Mesna injection,200 MG,2.855,,,,,,,,,
J9211,Idarubicin hcl injection,5 MG,35.311,,,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,20.695,,,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,202.837,,,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,10.250,,,,,,,,,
J9225,Vantas implant,50 MG,2966.802,,,,,,,,,
J9226,Supprelin LA implant,50 MG,16660.709,,,,,,,,,
J9228,Ipilimumab injection,1 MG,128.955,,,,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,154.698,,,,,,,,,
J9245,Inj melphalan hydrochl 50 MG,50 MG,1293.550,,,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.255,,,,,,,,,
J9260,Methotrexate sodium inj,50 MG,2.498,,,,,,,,,
J9261,Nelarabine injection,50 MG,130.634,,,,,,,,,
J9263,Oxaliplatin,0.5 MG,0.535,,,,,,,,,
J9264,Paclitaxel protein bound,1 MG,9.553,,,,,,,,,
J9265,Paclitaxel injection,30 MG,4.348,,,,,,,,,
J9266,Pegaspargase injection,1 EA,6007.380,,,,,,,,,
J9268,Pentostatin injection,10 MG,1419.700,,,,,,,,,
J9280,Mitomycin injection,5 MG,24.535,,,,,,,,,
J9293,Mitoxantrone hydrochl / 5 MG,5 MG,34.619,,,,,,,,,
J9300,Gemtuzumab ozogamicin inj,5 MG,2742.591,,,,,,,,,
J9302,Ofatumumab injection,10 MG,46.530,,,,,,,,,
J9303,Panitumumab injection,10 MG,91.380,,,,,,,,,
J9305,Pemetrexed injection,10 MG,59.488,,,,,,,,,
J9307,Pralatrexate injection,1 MG,182.611,,,,,,,,,
J9310,Rituximab injection,100 MG,678.702,,,,,,,,,
J9315,Romidepsin injection,1 MG,251.936,,,,,,,,,
J9320,Streptozocin injection,1 GM,274.345,,,,,,,,,
J9328,Temozolomide injection,1 MG,5.027,,,,,,,,,
J9330,Temsirolimus injection,1 MG,55.970,,,,,,,,,
J9340,Thiotepa injection,15 MG,630.700,,,,,,,,,
J9351,Topotecan injection,0.1 MG,2.196,,,,,,,,,
J9355,Trastuzumab injection,10 MG,78.720,,,95,58.130,,,,,
J9357,Valrubicin injection,200 MG,1052.978,,,,,,,,,
J9360,Vinblastine sulfate inj,1 MG,1.658,,,95,4.100,,,,,
J9370,Vincristine sulfate 1 MG inj,1 MG,5.767,,,95,33.980,,,,,
J9390,Vinorelbine tartrate inj,10 MG,8.810,,,,,,,,,
J9395,"Injection, Fulvestrant",25 MG,89.677,,,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,9.546,,,,,95,9.546,,,
P9043,"Plasma protein fract,5%,50ml",50 ML,8.816,,,,,95,8.816,,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,47.728,,,,,95,47.728,,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,19.680,,,,,95,19.680,,,
P9047,"Albumin (human), 25%, 50ml",50 ML,49.201,,,,,95,49.201,,,
P9048,"Plasmaprotein fract,5%,250ml",250 ML,44.080,,,,,95,44.080,,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.681,,,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.681,,,,,,,,,
Q0162,Ondansetron oral,1 MG,0.042,,,,,,,,updated July 2014,
Q0163,Diphenhydramine HCl 50mg,50 MG,0.029,,,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,0.026,,,,,,,,,
Q0165,Prochlorperazine maleate10mg,10 MG,0.036,,,,,,,,,
Q0166,Granisetron hcl 1 mg oral,1 MG,2.539,,,,,,,,,
Q0167,Dronabinol 2.5mg oral,2.5 MG,3.346,,,,,,,,,
Q0168,Dronabinol 5mg oral,5 MG,6.822,,,,,,,,,
Q0169,Promethazine HCl 12.5mg oral,12.5 MG,0.062,,,,,,,,,
Q0170,Promethazine HCl 25 mg oral,25 MG,0.085,,,,,,,,updated July 2014,
Q0180,Dolasetron mesylate oral,100 MG,69.470,,,,,,,,,
Q2009,Fosphenytoin inj PE,50 MG,1.169,,,,,,,,,
Q2017,"Teniposide, 50 mg",50 MG,332.617,,,,,,,,,
Q2035,"Afluria vacc, 3 yrs & >, im",0.5 ml,11.543,95,11.543,,,,,,,
Q2036,"Flulaval vacc, 3 yrs & >, im",0.5 ML,8.579,95,8.579,,,,,,,
Q2037,"Fluvirin vacc, 3 yrs & >, im",0.5 ML,14.963,95,14.963,,,,,,,
Q2038,"Fluzone vacc, 3 yrs & >, im",0.5 ML,12.044,95,12.044,,,,,,,
Q2043,Sipuleucel-T auto CD54+,Per infusion (minimum 50 million cells),32709.976,,,,,,,,,
Q2049,Imported Lipodox inj,10 MG,498.264,,,,,,,,,
Q2050,Doxorubicin inj 10mg,10 MG,545.476,,,,,,,,,
Q2051,Zoledronic acid 1mg,1 MG,150.326,,,,,,,,,
Q3025,IM inj interferon beta 1-a,11 MCG,307.141,,,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,77.380,,,,,,,,,
Q4081,"Epoetin alfa, 100 units ESRD",100 UNITS,1.122,,,,,,,,,
Q4101,Apligraf skin sub,1 SQ CM,41.061,,,,,,,,,
Q4102,Oasis wound matrix skin sub,1 SQ CM,9.507,,,,,,,,,
Q4103,Oasis burn matrix skin sub,1 SQ CM,9.507,,,,,,,,,
Q4104,Integra BMWD skin sub,1 SQ CM,25.747,,,,,,,,,
Q4105,Integra DRT skin sub,1 SQ CM,13.135,,,,,,,,,
Q4106,Dermagraft skin sub,1 SQ CM,44.433,,,,,,,,,
Q4107,Graftjacket skin sub,1 SQ CM,98.503,,,,,,,,,
Q4108,Integra matrix skin sub,1 SQ CM,28.457,,,,,,,,,
Q4110,Primatrix skin sub,1 SQ CM,38.594,,,,,,,,,
Q4111,Gammagraft skin sub,1 SQ CM,6.913,,,,,,,,,
Q4112,Cymetra allograft,1 CC,392.700,,,,,,,,,
Q4113,Graftjacket express allograf,1 CC,392.700,,,,,,,,,
Q4114,Integra flowable wound matri,1 CC,1235.313,,,,,,,,,
Q4115,Alloskin,1 SQ CM,12.681,,,,,,,,,
Q4116,Alloderm skin sub,1 SQ CM,32.891,,,,,,,,,
Q4121,Theraskin,1 SQ CM,23.205,,,,,,,,,
Q4123,Alloskin RT,1 SQ CM,15.450,,,,,,,,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,36.651,,,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,54.976,,,,,,,,,
Q9958,"HOCM <=149 mg/ml iodine, 1ml",1 ML,0.090,,,,,,,,,
Q9960,"HOCM 200-249mg/ml iodine,1ml",1 ML,0.168,,,,,,,,,
Q9961,"HOCM 250-299mg/ml iodine,1ml",1 ML,0.184,,,,,,,,,
Q9963,"HOCM 350-399mg/ml iodine,1ml",1 ML,0.175,,,,,,,,,
Q9965,"LOCM 100-199mg/ml iodine,1ml",1 ML,0.974,,,,,,,,,
Q9966,"LOCM 200-299mg/ml iodine,1ml",1 ML,0.254,,,,,,,,,
Q9967,"LOCM 300-399mg/ml iodine,1ml",1 ML,0.163,,,,,,,,,
