Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2015 through December 31, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q15 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J7195,Factor IX recombinant,1 IU,1.461,,,,,,,1,,,
J7197,Antithrombin iii injection,1 IU,3.371,,,,,,,,,,
J7198,Anti-inhibitor,1 IU,1.833,,,,,,,1,,,
J7200,Factor ix recombinan rixubis,1 IU,1.233,,,,,,,1,,,
J7201,Factor ix fc fusion recomb,1 IU,2.807,,,,,,,1,,,
J7308,Aminolevulinic acid hcl top,354 MG,292.793,,,,,,,,,,
J7310,Ganciclovir long act implant,4.5 MG,16960.000,,,,,,,,,,
J7311,Fluocinolone acetonide implt,0.59 MG,20138.078,,,,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,201.026,,,,,,,,,,
J7316,"Inj, Ocriplasmin, 0.125 mg",0.125 MG,1046.750,,,,,,,,,,
J7321,Hyalgan/supartz inj per dose,per dose,88.613,,,,,,,,,,
J7323,Euflexxa inj per dose,per dose,152.001,,,,,,,,,,
J7324,Orthovisc inj per dose,per dose,172.631,,,,,,,,,,
J7325,Synvisc or Synvisc-One,1 MG,12.871,,,,,,,,,,
J7326,Gel-One,per dose,578.113,,,,,,,,,,
J7327,Monovisc inj per dose,Per Dose,958.448,,,,,,,,,,
J7336,Capsaicin 8% patch,1 SQ CM,2.808,,,,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,0.336,,,,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,2.847,,,,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,1069.328,,,,,,,,,,
J7506,Prednisone oral,5 MG,0.066,,,,,,,,,,
J7507,Tacrolimus Imme Rel oral 1mg,1 MG,0.933,,,,,,,,,,
J7508,Tacrolimus Ex Rel oral 0.1mg,0.1 MG,0.393,,,,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.355,,,,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.117,,,,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,638.489,,,,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.821,,,,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,38.346,,,,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,1.173,,,,,,,,updated January 2016,,
J7518,Mycophenolic acid,180 MG,2.938,,,,,,,,,,
J7520,"Sirolimus, oral",1 MG,12.332,,,,,,,,,,
J7525,Tacrolimus injection,5 MG,163.248,,,,,,,,,,
J7527,Oral everolimus,0.25 MG,7.054,,,,,,,,,,
J7605,Arformoterol non-comp unit,15 mcg,8.080,,,,,,,,,,
J7606,"Formoterol fumarate, inh",20 MCG,8.876,,,,,,,,,,
J7608,Acetylcysteine non-comp unit,1 GM,4.823,,,,,,,,,,
J7611,Albuterol non-comp con,1 MG,0.124,,,,,,,,,,
J7612,Levalbuterol non-comp con,0.5 MG,0.205,,,,,,,,,,
J7613,Albuterol non-comp unit,1 MG,0.047,,,,,,,,,,
J7614,Levalbuterol non-comp unit,0.5 MG,0.072,,,,,,,,,,
J7620,Albuterol ipratrop non-comp,2.5 MG/0.5 MG,0.154,,,,,,,,,,
J7626,Budesonide non-comp unit,0.5 MG,5.386,,,,,,,,,,
J7631,Cromolyn sodium noncomp unit,10 MG,0.780,,,,,,,,,,
J7639,Dornase alfa non-comp unit,1 MG,38.968,,,,,,,,,,
J7644,Ipratropium bromide non-comp,1 MG,0.205,,,,,,,,,,
J7665,Mannitol for inhaler,5 MG,0.669,,,,,,,,,,
J7674,"Methacholine chloride, neb",1 MG,0.513,,,,,,,,,,
J7682,Tobramycin non-comp unit,300 MG,62.690,,,,,,,,,,
J7686,"Treprostinil, non-comp unit", 1.74 MG,506.439,,,,,,,,,,
J8501,Oral aprepitant,5 MG,9.542,,,,,,,,,,
J8510,Oral busulfan,2 MG,12.618,,,,,,,,,,
J8520,"Capecitabine, oral, 150 mg",150 MG,5.534,,,,,,,,,,
J8521,"Capecitabine, oral, 500 mg",500 MG,19.500,,,,,,,,,,
J8530,Cyclophosphamide oral 25 MG,25 MG,4.157,,,,,,,,,,
J8540,Oral dexamethasone,0.25 MG,0.129,,,,,,,,,,
J8560,Etoposide oral 50 MG,50 MG,68.735,,,,,,,,,,
J8600,Melphalan oral 2 MG,2 MG,10.783,,,,,,,,,,
J8610,Methotrexate oral 2.5 MG,2.5 MG,1.043,,,,,,,,,,
J8700,Temozolomide,5 MG,2.657,,,,,,,,,,
J8705,Topotecan oral,0.25 mg,101.355,,,,,,,,,,
J9000,Doxorubicin hcl injection,10 MG,4.051,,,,,,,,,,
J9017,Arsenic trioxide injection,1 MG,59.422,,,,,,,,,,
J9019,Erwinaze injection,"1,000 IU",376.494,,,,,,,,,,
J9020,"Asparaginase, NOS",10000 UNITS,64.565,,,,,,,,,,
J9025,Azacitidine injection,1 MG,3.053,,,,,,,,,,
J9027,Clofarabine injection,1 MG,138.381,,,,,,,,,,
J9031,Bcg live intravesical vac,1 EA,122.881,,,,,,,,,,
J9033,Bendamustine injection,1 MG,24.658,,,,,,,,,,
J9035,Bevacizumab injection,10 MG,69.603,,,,,,,,,,
J9040,Bleomycin sulfate injection,15 UNITS,22.966,,,95,289.370,,,,,,
J9041,Bortezomib injection,0.1 MG,46.752,,,,,,,,,,
J9042,Brentuximab vedotin inj,1 MG,119.618,,,,,,,,,,
J9043,Cabazitaxel injection,1 MG,148.663,,,,,,,,,,
J9045,Carboplatin injection,50 MG,3.824,,,,,,,,,,
J9047,"Injection, Carfilzomib, 1 mg",1 MG,31.056,,,,,,,,,,
J9050,Carmustine injection,100 MG,2973.338,,,,,,,,,,
J9055,Cetuximab injection,10 MG,53.475,,,,,,,,,,
J9060,Cisplatin 10 MG injection,10 MG,1.972,,,,,,,,,,
J9065,Inj cladribine per 1 MG,1 MG,20.912,,,95,61.720,,,,,,
J9070,Cyclophosphamide 100 MG inj,100 MG,48.948,,,,,,,,,,
J9098,Cytarabine liposome inj,10 MG,576.484,,,,,,,,,,
J9100,Cytarabine hcl 100 MG inj,100 MG,0.923,,,95,8.190,,,,,,
J9120,Dactinomycin injection,0.5 MG,1164.569,,,,,,,,,,
J9130,Dacarbazine 100 mg inj,100 MG,3.911,,,,,,,,,,
J9150,Daunorubicin injection,10 MG,26.449,,,,,,,,,,
J9155,Degarelix injection,1 MG,3.588,,,,,,,,,,
J9171,Docetaxel injection,1 MG,3.486,,,,,,,,,,
J9178,"Inj, epirubicin hcl, 2 mg",2 MG,1.502,,,,,,,,,,
J9179,Eribulin mesylate injection,0.1 MG,102.528,,,,,,,,,,
J9181,Etoposide injection,10 MG,0.615,,,,,,,,,,
J9185,Fludarabine phosphate inj,50 MG,72.849,,,,,,,,,,
J9190,Fluorouracil injection,500 MG,1.953,,,95,2.070,,,,,,
J9200,Floxuridine injection,500 MG,67.687,,,95,136.800,,,,AMP-based payment limit,,
J9201,Gemcitabine hcl injection,200 MG,9.219,,,,,,,,,,
J9202,Goserelin acetate implant,3.6 MG,281.046,,,,,,,,,,
J9206,Irinotecan injection,20 MG,4.001,,,,,,,,,,
J9207,Ixabepilone injection,1 MG,72.080,,,,,,,,,,
J9208,Ifosfamide injection,1 GM,32.204,,,95,150.380,,,,,,
J9209,Mesna injection,200 MG,2.856,,,,,,,,AMP-based payment limit,,
J9211,Idarubicin hcl injection,5 MG,34.882,,,,,,,,,,
J9214,Interferon alfa-2b inj,1 MIL UNITS,24.046,,,,,,,,,,
J9217,Leuprolide acetate suspnsion,7.5 MG,242.804,,,,,,,,,,
J9218,Leuprolide acetate injeciton,1 MG,7.145,,,,,,,,,,
J9225,Vantas implant,50 MG,3012.288,,,,,,,,,,
J9226,Supprelin LA implant,50 MG,22170.844,,,,,,,,,,
J9228,Ipilimumab injection,1 MG,138.834,,,,,,,,,,
J9230,Mechlorethamine hcl inj,10 MG,241.990,,,,,,,,,,
J9245,Inj melphalan hydrochl 50 MG,50 MG,1285.402,,,,,,,,,,
J9250,Methotrexate sodium inj,5 MG,0.236,,,,,,,,,,
J9260,Methotrexate sodium inj,50 MG,2.355,,,,,,,,,,
J9261,Nelarabine injection,50 MG,148.567,,,,,,,,,,
J9263,Oxaliplatin,0.5 MG,0.484,,,,,,,,,,
J9264,Paclitaxel protein bound,1 MG,9.767,,,,,,,,,,
J9266,Pegaspargase injection,1 EA,6189.743,,,,,,,,,,
J9267,Paclitaxel injection,1 MG,0.171,,,,,,,,,,
J9268,Pentostatin injection,10 MG,1471.484,,,,,,,,,,
J9280,Mitomycin injection,5 MG,73.031,,,,,,,,,,
J9293,Mitoxantrone hydrochl / 5 MG,5 MG,32.124,,,,,,,,,,
J9301,Obinutuzumab inj,10 MG,54.206,,,,,,,,,,
J9302,Ofatumumab injection,10 MG,49.471,,,,,,,,,,
J9303,Panitumumab injection,10 MG,100.913,,,,,,,,,,
J9305,Pemetrexed injection,10 MG,61.212,,,,,,,,,,
J9306,"Injection, Pertuzumab, 1 mg",1 MG,10.215,,,,,,,,,,
J9307,Pralatrexate injection,1 MG,212.798,,,,,,,,,,
J9310,Rituximab injection,100 MG,748.702,,,,,,,,,,
J9315,Romidepsin injection,1 MG,290.839,,,,,,,,,,
J9320,Streptozocin injection,1 GM,324.023,,,,,,,,,,
J9328,Temozolomide injection,1 MG,6.842,,,,,,,,,,
J9330,Temsirolimus injection,1 MG,62.502,,,,,,,,,,
J9351,Topotecan injection,0.1 MG,2.050,,,,,,,,,,
J9354,"Inj, Ado-trastuzumab Emt 1mg",1 MG,29.212,,,,,,,,,,
J9355,Trastuzumab injection,10 MG,87.359,,,95,58.130,,,,,,
J9357,Valrubicin injection,200 MG,1117.311,,,,,,,,,,
J9360,Vinblastine sulfate inj,1 MG,2.940,,,95,4.100,,,,,,
J9370,Vincristine sulfate 1 MG inj,1 MG,4.578,,,95,33.980,,,,,,
J9371,"Inj, vincristine sul lip 1 mg",1 MG,2321.819,,,,,,,,,,
J9390,Vinorelbine tartrate inj,10 MG,10.070,,,,,,,,,,
J9395,"Injection, Fulvestrant",25 MG,93.443,,,,,,,,,,
J9400,"Inj, ziv-aflibercept, 1mg",1 MG,8.315,,,,,,,,,,
P9041,"Albumin (human),5%, 50ml",50 ML,10.908,,,,,95,10.908,,,,
P9045,"Albumin (human), 5%, 250 ml",250 ML,54.540,,,,,95,54.540,,,,
P9046,"Albumin (human), 25%, 20 ml",20 ML,22.485,,,,,95,22.485,,,,
P9047,"Albumin (human), 25%, 50ml",50 ML,53.438,,,,,95,53.438,,,,
Q0138,"Ferumoxytol, non-esrd",1 MG,0.806,,,,,,,,,,
Q0139,"Ferumoxytol, esrd use",1 MG,0.806,,,,,,,,,,
Q0162,Ondansetron oral,1 MG,0.043,,,,,,,,,,
Q0163,Diphenhydramine HCl 50mg,50 MG,0.259,,,,,,,,,,
Q0164,Prochlorperazine maleate 5mg,5 MG,0.040,,,,,,,,,,
Q0166,Granisetron hcl 1 mg oral,1 MG,1.403,,,,,,,,,,
Q0167,Dronabinol 2.5mg oral,2.5 MG,1.032,,,,,,,,AMP-based payment limit,,
Q0169,Promethazine HCl 12.5mg oral,12.5 MG,0.031,,,,,,,,,,
Q0180,Dolasetron mesylate oral,100 MG,103.183,,,,,,,,,,
Q2035,"Afluria vacc, 3 yrs & >, im",0.5 ml,13.025,95,13.025,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
Q2037,"Fluvirin vacc, 3 yrs & >, im",0.5 ML,15.830,95,15.830,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
Q2038,"Fluzone vacc, 3 yrs & >, im",0.5 ML,12.044,95,12.044,,,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
Q2043,Sipuleucel-T auto CD54+,Per infusion (minimum 50 million cells),36704.050,,,,,,,,,,
Q2049,Imported Lipodox inj,10 MG,508.429,,,,,,,,,,
Q2050,Doxorubicin inj 10mg,10 MG,443.831,,,,,,,,,,
Q3027,Inj beta interferon im 1 mcg,1 MCG,40.519,,,,,,,,,,
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,112.773,,,,,,,,,,
Q4081,"Epoetin alfa, 100 units ESRD",100 UNITS,1.262,,,,,,,,,,
Q4101,Apligraf skin sub,1 SQ CM,31.232,,,,,,,,,,
Q4102,Oasis wound matrix skin sub,1 SQ CM,10.724,,,,,,,,,,
Q4104,Integra BMWD skin sub,1 SQ CM,32.274,,,,,,,,,,
Q4105,Integra DRT skin sub,1 SQ CM,20.049,,,,,,,,,,
Q4106,Dermagraft skin sub,1 SQ CM,33.292,,,,,,,,,,
Q4107,Graftjacket skin sub,1 SQ CM,95.514,,,,,,,,,,
Q4108,Integra matrix skin sub,1 SQ CM,34.371,,,,,,,,,,
Q4110,Primatrix skin sub,1 SQ CM,37.085,,,,,,,,,,
Q4111,Gammagraft skin sub,1 SQ CM,6.902,,,,,,,,,,
Q4112,Cymetra allograft,1 CC,258.733,,,,,,,,,,
Q4113,Graftjacket express allograf,1 CC,258.733,,,,,,,,,,
Q4114,Integra flowable wound matri,1 CC,1568.864,,,,,,,,,,
Q4115,Alloskin,1 SQ CM,6.984,,,,,,,,,,
Q4116,Alloderm skin sub,1 SQ CM,32.546,,,,,,,,,,
Q4121,Theraskin,1 SQ CM,35.999,,,,,,,,,,
Q4123,Alloskin RT,1 SQ CM,13.253,,,,,,,,,,
Q4131,Epifix,1 SQ CM,195.548,,,,,,,,,,
Q5101,Inj filgrastim g-csf biosim,1 MCG,0.969,,,,,,,,Added October 2015,,
Q9956,"Inj octafluoropropane mic,ml",1 ML,35.047,,,,,,,,,,
Q9957,"Inj perflutren lip micros,ml",1 ML,52.570,,,,,,,,,,
Q9958,"HOCM <=149 mg/ml iodine, 1ml",1 ML,0.085,,,,,,,,,,
Q9960,"HOCM 200-249mg/ml iodine,1ml",1 ML,0.190,,,,,,,,,,
Q9961,"HOCM 250-299mg/ml iodine,1ml",1 ML,0.202,,,,,,,,,,
Q9963,"HOCM 350-399mg/ml iodine,1ml",1 ML,0.196,,,,,,,,,,
Q9965,"LOCM 100-199mg/ml iodine,1ml",1 ML,0.934,,,,,,,,,,
Q9966,"LOCM 200-299mg/ml iodine,1ml",1 ML,0.178,,,,,,,,,,
Q9967,"LOCM 300-399mg/ml iodine,1ml",1 ML,0.138,,,,,,,,,,
Q9975,Factor VIII FC Fusion Recomb,1 IU,1.895,,,,,,,1,,,
Q9979,"Injection, Alemtuzumab",1 MG,1743.194,,,,,,,,Added October 2015,,
